x, y, z, ry, ry, rz, w
0.45039,-9.29352e-07,0.450201,1,-1.03136e-05,-0.000249079,-5.95272e-05
0.45039,-9.29352e-07,0.450201,1,-1.03136e-05,-0.000249079,-5.95272e-05
0.45039,-1.8674e-06,0.4502,1,-1.37133e-05,-0.000249978,-6.16853e-05
0.450391,-2.4482e-06,0.4502,1,-1.61104e-05,-0.0002497,-6.00708e-05
0.450391,-3.19151e-06,0.450201,1,-1.60758e-05,-0.000249474,-6.05539e-05
0.45039,-3.26594e-06,0.450196,1,-1.44612e-05,-0.000254269,-5.75861e-05
0.45039,-5.10251e-06,0.450198,1,-1.58625e-05,-0.000252664,-5.85236e-05
0.45039,-8.23493e-07,0.450201,1,-1.18365e-05,-0.000248888,-5.77952e-05
0.450392,-5.1388e-06,0.4502,1,-1.80409e-05,-0.000249341,-6.06412e-05
0.45039,-4.80044e-06,0.450198,1,-1.60167e-05,-0.000252411,-5.92162e-05
0.45039,-3.42361e-06,0.4502,1,-1.41543e-05,-0.000248999,-5.98654e-05
0.450391,-1.85861e-06,0.450196,1,-1.47021e-05,-0.000253301,-6.05981e-05
0.45039,-2.48359e-06,0.450197,1,-1.2802e-05,-0.000252717,-5.9327e-05
0.45039,-3.84525e-06,0.450195,1,-1.60846e-05,-0.000255673,-5.95916e-05
0.45039,-2.44779e-06,0.450197,1,-1.05736e-05,-0.000253033,-5.95421e-05
0.45039,-5.38973e-06,0.450199,1,-1.64131e-05,-0.000251231,-5.96219e-05
0.45039,-2.6755e-06,0.450199,1,-1.32015e-05,-0.000248568,-5.99022e-05
0.450391,-4.79036e-06,0.450199,1,-1.75645e-05,-0.000250558,-6.14147e-05
0.45039,-2.19367e-06,0.450197,1,-1.58459e-05,-0.000252113,-6.03082e-05
0.450393,-6.25632e-06,0.450202,1,-1.50518e-05,-0.000245763,-5.8683e-05
0.45039,-4.5563e-06,0.450196,1,-1.78311e-05,-0.00025271,-6.13986e-05
0.45039,-1.69947e-06,0.450197,1,-1.16511e-05,-0.000251492,-5.89675e-05
0.45039,-4.50336e-06,0.450197,1,-1.31921e-05,-0.000251845,-6.04554e-05
0.450391,-4.8785e-06,0.4502,1,-1.43142e-05,-0.000248644,-6.09535e-05
0.450391,-3.84923e-06,0.450198,1,-1.52685e-05,-0.000251266,-6.32138e-05
0.45039,-3.89353e-06,0.450197,1,-1.53502e-05,-0.000251559,-6.08806e-05
0.450391,-3.53323e-06,0.450196,1,-1.39596e-05,-0.000252565,-6.01112e-05
0.450392,-4.7705e-06,0.450198,1,-1.73444e-05,-0.00024881,-6.08163e-05
0.450391,-3.5621e-06,0.450199,1,-1.56355e-05,-0.000248355,-6.10356e-05
0.45039,-5.08688e-06,0.450196,1,-1.60947e-05,-0.000253681,-5.99585e-05
0.450391,-2.61979e-06,0.450197,1,-1.28779e-05,-0.00025104,-5.99058e-05
0.450391,-5.20674e-06,0.450199,1,-1.72489e-05,-0.00024865,-5.82475e-05
0.45039,-3.66083e-06,0.450196,1,-1.37527e-05,-0.000253719,-5.8593e-05
0.45039,-3.07713e-06,0.450196,1,-1.279e-05,-0.000253282,-5.83332e-05
0.450391,-4.56364e-06,0.450194,1,-1.70474e-05,-0.000255373,-5.86527e-05
0.450391,-3.83626e-06,0.450199,1,-1.58572e-05,-0.000248326,-6.24879e-05
0.450391,-3.77666e-06,0.450198,1,-1.4322e-05,-0.0002496,-6.04111e-05
0.450391,-5.73007e-06,0.450198,1,-1.7014e-05,-0.000251009,-5.88351e-05
0.450392,-5.08866e-06,0.450199,1,-1.55635e-05,-0.000248359,-5.9403e-05
0.450392,-1.95479e-06,0.450198,1,-1.30676e-05,-0.000249089,-5.85306e-05
0.450391,-2.20503e-06,0.450195,1,-1.44853e-05,-0.00025338,-5.71698e-05
0.450391,-5.05299e-06,0.450196,1,-1.79549e-05,-0.000251377,-5.9421e-05
0.450473,0.00200008,0.450413,0.999933,0.0115525,-5.51657e-05,-0.000277896
0.451028,0.0119658,0.451963,0.99883,0.0482788,0.00148257,-0.00255662
0.451996,0.0291775,0.455477,0.996006,0.0890809,0.00458592,-0.00383243
0.452916,0.0495845,0.460652,0.991776,0.12765,0.00839142,-0.00391454
0.453515,0.073345,0.467217,0.985827,0.167263,0.0126151,-0.00295536
0.453617,0.0982462,0.474685,0.978474,0.205702,0.0164969,-0.00166164
0.453419,0.113794,0.4796,0.973228,0.229082,0.0186636,-0.000629505
0.452835,0.142129,0.489016,0.962258,0.271185,0.0227173,0.00137326
0.452044,0.170115,0.497909,0.9497,0.312007,0.0266799,0.00304051
