x, y, z, ry, ry, rz, w
1.57632,0.961131,-0.109415,1,0,0,0
1.57632,0.961131,-0.109415,1,0,0,0
1.07509,0.598768,-0.0185102,1,0,0,0
1.87002,1.08591,-0.0748418,1,0,0,0
1.57508,0.960428,-0.108316,1,0,0,0
1.57536,0.959861,-0.107745,1,0,0,0
1.58128,0.960334,-0.10587,1,0,0,0
1.58405,0.960637,-0.105057,1,0,0,0
1.12618,0.572784,0.0399103,0.913099,0.0491545,-0.289473,0.282912
0.885821,0.386596,0.127373,0.926459,0.0377806,-0.265525,0.26409
0.859202,0.395508,0.157725,0.926395,0.0380387,-0.265609,0.264191
0.821884,0.404994,0.238156,0.993646,-0.00458139,-0.0639595,0.0924942
0.81609,0.401626,0.261625,0.994877,-0.00503526,-0.0457063,0.0900274
0.760661,0.397549,0.277257,0.999589,-0.0017897,0.00490434,0.0281712
0.776883,0.417134,0.32403,0.99909,-0.00859043,0.0415114,-0.004673
0.706592,0.378735,0.301362,0.998393,-0.0110654,0.0549542,-0.00834331
0.670925,0.361945,0.293188,0.997463,-0.0138448,0.0680361,-0.0157169
0.770855,0.414918,0.336995,0.996627,-0.0149869,0.0777376,-0.021615
0.76908,0.41147,0.343606,0.995686,-0.0201625,0.0877732,-0.0223375
0.769164,0.408152,0.342094,0.99519,-0.027549,0.0921817,-0.0184357
0.766337,0.401105,0.342767,0.994985,-0.0370434,0.0908946,-0.0192773
0.764978,0.397748,0.343111,0.994985,-0.0370434,0.0908946,-0.0192773
0.758997,0.39235,0.350573,0.994985,-0.0370435,0.0908946,-0.0192773
0.760693,0.386528,0.334316,0.993668,-0.0489683,0.101083,0.00299211
0.764973,0.402146,0.335814,0.993994,-0.0452474,0.0990624,0.0107648
0.769198,0.408797,0.335537,0.994625,-0.0400699,0.0948466,0.0109637
0.770155,0.406122,0.334612,0.995394,-0.0387773,0.0862805,0.0155923
0.770274,0.404327,0.3345,0.995427,-0.0378485,0.0862864,0.0157427
0.769974,0.403303,0.334062,0.995437,-0.0377677,0.0862969,0.015231
0.769581,0.402743,0.333796,0.995344,-0.0379838,0.0872379,0.0154029
0.767684,0.402612,0.334014,0.995292,-0.0384928,0.0875547,0.015719
0.766631,0.401554,0.332929,0.995297,-0.0402104,0.0866688,0.0160159
0.766017,0.400364,0.332466,0.995347,-0.0401199,0.0858008,0.0176816
0.765678,0.400278,0.332104,0.995263,-0.0412484,0.0860791,0.0184301
0.764596,0.400054,0.333128,0.994984,-0.044211,0.0862002,0.0249166
0.764438,0.400012,0.333481,0.994984,-0.044211,0.0862002,0.0249166
0.764316,0.400312,0.334715,0.995235,-0.0441483,0.0850149,0.0181718
0.767428,0.408079,0.338245,0.99577,-0.0434547,0.0798967,0.0130707
0.767725,0.409866,0.340086,0.99577,-0.0434547,0.0798967,0.0130707
0.765088,0.413927,0.342461,0.996105,-0.0417401,0.0770193,0.0100263
0.763691,0.415673,0.344968,0.995614,-0.0429628,0.0826435,0.00879778
0.76228,0.416588,0.345673,0.995574,-0.0432763,0.0828401,0.00985894
0.761807,0.417255,0.346085,0.995563,-0.0434481,0.0827786,0.0107216
0.763633,0.418057,0.346128,0.995318,-0.0449497,0.0842784,0.0147723
0.765473,0.422385,0.34439,0.995284,-0.0447432,0.08471,0.0152084
0.766499,0.423547,0.343712,0.994631,-0.0453219,0.0908783,0.019895
0.767966,0.424325,0.343052,0.994358,-0.0438645,0.0943949,0.0204566
0.767411,0.424603,0.342984,0.994382,-0.0430898,0.0946516,0.0197147
0.767356,0.4243,0.342686,0.994789,-0.0403881,0.0924391,0.0148155
0.767423,0.424995,0.342783,0.995078,-0.0385114,0.0903077,0.0134635
0.766649,0.424828,0.341992,0.99531,-0.0361321,0.0891427,0.0103341
0.765894,0.424101,0.341413,0.995538,-0.0348024,0.0871294,0.0100241
0.765193,0.423813,0.341875,0.995606,-0.0372273,0.0851206,0.0117268
0.765391,0.42439,0.339504,0.995585,-0.0383373,0.0847343,0.0126997
0.76487,0.424683,0.340752,0.995605,-0.0394259,0.0840618,0.0122812
0.764917,0.424557,0.340816,0.995442,-0.0405847,0.0850979,0.0143816
