x, y, z, rx, ry, rz, w
0.448151,0.24781,0.349546,0.840062,0.478252,0.152349,0.205817
0.44183,0.257947,0.342964,0.83807,0.486969,0.146611,0.197496
0.435409,0.267017,0.337917,0.836232,0.495276,0.140963,0.188538
0.428457,0.275477,0.3341,0.834739,0.502965,0.135067,0.178865
0.420997,0.283315,0.331666,0.833599,0.510157,0.128935,0.168013
0.413268,0.290204,0.330576,0.832947,0.516455,0.122273,0.156599
0.406335,0.295827,0.33092,0.832366,0.522046,0.115912,0.145604
0.399547,0.3008,0.332811,0.831767,0.527425,0.109249,0.134354
0.392508,0.304907,0.336687,0.831741,0.53209,0.101623,0.121494
0.38673,0.307303,0.34167,0.831848,0.53574,0.0944538,0.109951
0.381206,0.30858,0.348225,0.831759,0.539455,0.0871704,0.0978108
0.375759,0.308541,0.357037,0.831858,0.542775,0.0795699,0.0841175
0.370148,0.306661,0.367994,0.832182,0.545561,0.0713171,0.0689232
0.365692,0.303101,0.378969,0.832839,0.546998,0.0643174,0.0551015
0.361635,0.297718,0.390276,0.834029,0.547209,0.0572882,0.0409393
0.357092,0.288369,0.404243,0.836281,0.545719,0.0481692,0.0224811
0.353709,0.277664,0.416301,0.838554,0.543304,0.0401193,0.00620187
0.352157,0.27077,0.422741,0.840017,0.541368,0.0358238,-0.00295842
0.349583,0.255967,0.434782,0.843115,0.536634,0.0277027,-0.0203356
0.347639,0.238763,0.446019,0.846315,0.530951,0.0198378,-0.0380492
0.346626,0.220129,0.455981,0.849298,0.524929,0.0131499,-0.054492
0.346206,0.199802,0.46491,0.852107,0.518587,0.00698497,-0.0702331
0.346443,0.179531,0.47184,0.854554,0.512464,0.00201771,-0.0843423
0.347253,0.159437,0.477311,0.856893,0.506103,-0.00159797,-0.0979351
0.348544,0.139649,0.48148,0.859253,0.49934,-0.00424673,-0.11102
0.350016,0.121564,0.484088,0.861329,0.49296,-0.00658204,-0.12272
0.351099,0.111121,0.484927,0.862514,0.489163,-0.00781845,-0.129338
0.353453,0.0893519,0.485316,0.865054,0.480605,-0.0106956,-0.14348
0.35492,0.0744816,0.484455,0.867065,0.473764,-0.01283,-0.153562
0.355663,0.0665547,0.483675,0.868128,0.470065,-0.0139816,-0.158736
0.357255,0.0513173,0.481476,0.870289,0.462887,-0.0160658,-0.167556
0.359202,0.0367163,0.478477,0.872653,0.455815,-0.0175575,-0.174362
0.361434,0.0225435,0.474693,0.875247,0.44859,-0.018426,-0.179917
0.364094,0.00722694,0.469838,0.877538,0.442378,-0.0191746,-0.184014
0.366552,-0.00754721,0.464457,0.87915,0.43784,-0.0203556,-0.187023
0.369089,-0.0236306,0.458285,0.880395,0.434169,-0.0221338,-0.189506
0.370491,-0.0323958,0.454774,0.880959,0.43242,-0.0233489,-0.190735
0.373172,-0.0485175,0.448414,0.881583,0.430408,-0.0258439,-0.192073
0.376117,-0.0638353,0.442329,0.881364,0.430927,-0.028204,-0.191582
0.379858,-0.0797018,0.436225,0.88053,0.433421,-0.0302515,-0.189465
0.38373,-0.0941498,0.430563,0.879627,0.436235,-0.0327621,-0.186766
0.388039,-0.107023,0.425265,0.879155,0.438342,-0.0350014,-0.183623
0.393444,-0.119787,0.419239,0.87912,0.439928,-0.0371281,-0.179536
0.399098,-0.130295,0.413863,0.879619,0.440671,-0.0383571,-0.17495
0.405801,-0.140643,0.407629,0.880496,0.441077,-0.039249,-0.169226
0.412489,-0.150108,0.401535,0.881324,0.441703,-0.040396,-0.162893
0.419524,-0.159541,0.394883,0.882215,0.442458,-0.041503,-0.155577
0.427159,-0.168976,0.388648,0.88356,0.442894,-0.0413768,-0.146476
0.43518,-0.178891,0.382453,0.885094,0.443353,-0.0403209,-0.135724
0.443398,-0.189094,0.376918,0.887368,0.442411,-0.0386841,-0.123913
0.45108,-0.199294,0.372287,0.890342,0.439707,-0.0367128,-0.112253
0.45508,-0.204845,0.370111,0.89205,0.437916,-0.0354689,-0.105913
0.462769,-0.216473,0.366532,0.895415,0.434114,-0.0330076,-0.093205
0.470305,-0.228897,0.363538,0.898777,0.430029,-0.0303179,-0.0797275
0.477124,-0.241047,0.36126,0.901436,0.426841,-0.0275675,-0.0667918
0.483897,-0.253083,0.359618,0.903791,0.423859,-0.0247894,-0.0537596
0.490698,-0.266264,0.358011,0.906352,0.420044,-0.0218818,-0.0401256
0.497655,-0.279843,0.356604,0.909266,0.414943,-0.0188085,-0.0265443
0.503926,-0.293054,0.355607,0.91212,0.409362,-0.0162848,-0.0139591
0.509541,-0.305231,0.355081,0.914876,0.403481,-0.014007,-0.00292318
0.515538,-0.318272,0.355129,0.917701,0.397007,-0.0115763,0.0087195
0.521435,-0.331578,0.355984,0.92058,0.389928,-0.00895507,0.0202169
0.526941,-0.344584,0.357783,0.923282,0.382828,-0.00655677,0.0308233
0.531566,-0.356258,0.36023,0.925693,0.376177,-0.00454514,0.0395322
0.53499,-0.365963,0.363051,0.927754,0.37029,-0.00300797,0.0463529
0.537874,-0.374373,0.366143,0.929543,0.364981,-0.00166248,0.0523089
0.540961,-0.384871,0.370603,0.931885,0.357888,0.000448063,0.0592148
0.542733,-0.393939,0.375174,0.934059,0.351254,0.00218216,0.0644105
0.543346,-0.403138,0.380916,0.936264,0.344449,0.00419017,0.0689011
0.543086,-0.41065,0.387078,0.937939,0.339039,0.0063943,0.0726749
0.542038,-0.416888,0.393679,0.939345,0.3344,0.00919236,0.0756459
0.540181,-0.422617,0.401339,0.940848,0.329418,0.0123242,0.078337
0.537924,-0.427468,0.408636,0.942326,0.324574,0.0151757,0.0802728
0.535412,-0.432192,0.417804,0.943799,0.319526,0.0184388,0.0824987
0.532984,-0.435812,0.42684,0.944789,0.315833,0.0217169,0.0845656
0.530647,-0.438388,0.435961,0.945737,0.312304,0.0251023,0.0861259
0.529267,-0.439418,0.441664,0.946252,0.310396,0.0271202,0.0867498
0.526465,-0.440632,0.451961,0.947157,0.307098,0.0310986,0.0872717
0.523668,-0.440559,0.462611,0.947894,0.304408,0.0353985,0.0870595
0.520943,-0.439548,0.47324,0.948542,0.301953,0.040098,0.0865108
0.518264,-0.437524,0.483833,0.948938,0.300349,0.0449303,0.0853704
0.515344,-0.434847,0.49484,0.949158,0.299246,0.0502993,0.0837865
0.512547,-0.432043,0.504676,0.949252,0.2986,0.0550425,0.0820296
0.509557,-0.429141,0.514359,0.949258,0.298193,0.0598501,0.0800553
0.506416,-0.426131,0.524165,0.948996,0.298459,0.0647996,0.0782966
0.503589,-0.423402,0.532762,0.948698,0.298893,0.0689309,0.0767045
0.500573,-0.420488,0.541293,0.948601,0.298666,0.0731421,0.074869
0.498043,-0.417522,0.548964,0.948781,0.297645,0.0767107,0.0730596
0.495983,-0.414399,0.55595,0.949155,0.296048,0.0799486,0.0711929
0.494657,-0.411395,0.561534,0.949487,0.294643,0.0826304,0.0695191
0.49381,-0.407842,0.566979,0.949798,0.293417,0.0849156,0.0676777
0.493607,-0.40574,0.569684,0.94999,0.292741,0.0859514,0.0665955
0.493803,-0.401204,0.574454,0.950327,0.291527,0.0880047,0.0643851
0.494316,-0.396569,0.578605,0.95055,0.290794,0.0896397,0.0621129
0.495203,-0.391008,0.583364,0.950822,0.28991,0.0913087,0.0596073
