Fx, Fy, Fz, Mx, My, Mz
-2.82758,-0.818827,2.18454,1.1707,-1.32106,0.6003
-3.60425,-0.699843,2.36988,1.28288,-1.66496,0.928524
-2.69177,-1.44576,2.26388,1.68594,-1.18325,0.426598
-3.31063,-1.20268,2.29236,1.69466,-1.45313,0.782166
-3.26348,-1.71645,2.7938,2.15797,-1.63886,0.628942
-3.0063,-1.988,2.21508,2.16495,-1.38697,0.485397
-3.57075,-2.28667,2.04014,2.25527,-1.69526,0.539665
-2.93578,-2.18884,2.44056,2.27873,-1.55157,0.344699
-2.99527,-2.66505,1.30508,2.17195,-1.30008,0.177182
-2.75361,-2.53217,2.25647,2.35437,-1.51274,0.097658
-2.4625,-2.43741,1.40269,2.07695,-1.19201,-0.00762772
-2.39716,-2.37715,2.12569,2.23659,-1.40478,-0.0459443
-3.20506,-2.33369,2.30228,2.28206,-2.00727,0.151163
-3.35399,-2.43594,1.60208,2.17495,-1.92393,0.0856165
-2.33157,-1.87789,2.14814,1.99521,-1.53189,-0.00542719
-3.00515,-1.95917,1.30905,1.90552,-1.74159,0.0484422
-2.56643,-1.66382,1.44168,1.80815,-1.49631,0.00822482
-3.53502,-2.10578,1.94654,2.21002,-2.34202,-0.0614787
-3.49702,-2.32047,1.50483,2.06747,-2.28617,-0.203784
-2.93884,-2.28607,1.56429,1.74289,-2.07492,-0.29141
-2.99832,-2.22535,1.82473,1.48575,-2.29954,-0.267
-2.93387,-2.33875,1.87006,1.40657,-2.30197,-0.322746
-2.25347,-2.37402,1.54903,1.19544,-1.76525,-0.374797
-1.60808,-2.68599,1.57459,1.3148,-1.30748,-0.534408
-1.45119,-2.24827,1.79889,1.01065,-1.27233,-0.373467
-1.03691,-2.87971,2.1263,1.39989,-1.1006,-0.624302
-0.511772,-2.54735,1.92833,1.19346,-0.66969,-0.496391
-0.80066,-2.36937,1.88652,1.0939,-0.842863,-0.461933
-0.826038,-2.53174,1.85336,1.20883,-0.85996,-0.564836
-1.40236,-2.6158,1.66557,1.33321,-1.22609,-0.694522
-0.450203,-2.05766,1.24258,1.01061,-0.507677,-0.446835
-1.60953,-2.47602,1.37194,1.28373,-1.33713,-0.742665
-1.19315,-1.83431,1.04923,0.917525,-1.01349,-0.50878
-0.756671,-1.54793,1.10764,0.689734,-0.966277,-0.435429
-1.67463,-1.41235,-0.690308,0.767863,-1.18172,-0.620982
-1.78438,-1.79401,0.175835,0.824622,-1.76251,-0.84677
-1.68801,-1.75463,-1.18849,0.90297,-1.16944,-0.820299
-1.04192,-1.84167,-0.248958,0.740268,-1.12333,-0.750779
-1.00391,-1.3397,-0.947268,0.492535,-0.749769,-0.52416
-0.735562,-1.39678,-0.366593,0.395596,-0.795043,-0.505454
-1.26042,-1.89416,-0.830028,0.909489,-0.901619,-0.870059
-1.25175,-1.73767,-0.104538,0.915205,-1.23557,-0.888732
0.347144,-1.76593,-1.21606,1.30602,0.154095,-0.632803
0.689677,-1.90434,-0.507115,1.34528,-0.0333555,-0.668505
-0.413334,-1.51236,-1.17872,1.29187,-0.486043,-0.753437
-0.245618,-2.06691,-0.384162,1.47276,-0.797249,-0.981524
0.201101,-1.96785,-0.927987,1.50966,-0.332426,-0.819934
-0.426902,-1.64095,-0.343611,1.13353,-1.00862,-0.804339
-0.356523,-1.34792,-2.08995,1.33908,-0.138658,-0.636997
0.890001,-1.46832,-0.828111,1.05201,-0.0397781,-0.372432
-0.0449625,-2.22237,-1.0192,1.45042,-0.457378,-0.985132
-1.12754,-0.791619,-1.75002,0.874287,-0.687328,-0.561039
-0.019292,-1.31689,-2.07226,1.22073,0.0867288,-0.52373
-0.981027,-1.66661,-0.639847,0.980625,-1.13232,-0.980157
0.151325,-0.785649,0.0962686,0.373915,-0.929609,-0.19374
-0.0926125,-0.315103,0.0780773,0.159953,-1.12103,-0.00793243
0.72333,-1.25756,-1.09431,1.09515,-0.144594,-0.214117
-0.109871,-1.4584,-2.46628,1.62162,0.108167,-0.57155
-1.39093,-2.1988,-1.92136,1.88887,-0.874489,-1.37164
0.625329,-2.67549,0.022814,1.5812,-0.717736,-0.91565
0.4216,-0.943186,-0.941863,1.05338,-0.233106,-0.0741041
2.34076,-3.11367,0.803932,1.95333,0.230814,-0.531196
0.146256,-3.38331,2.16998,1.86625,-1.4364,-1.49347
1.61199,-2.01482,1.36852,1.41661,-0.102215,-0.314129
1.4,-1.50933,2.0063,0.930018,-0.593808,-0.132714
1.97486,-3.27105,2.51428,1.73789,-0.522546,-0.852658
2.0942,-2.38244,1.50463,1.6115,0.0628636,-0.394639
0.964144,-2.66751,1.04754,1.95774,-0.378613,-1.03036
0.446582,-0.624896,2.34,0.261353,-1.39119,-0.198304
-0.528219,-0.852241,1.4999,0.698993,-1.53524,-0.726677
-0.802391,-1.1143,1.59198,0.786366,-1.69835,-0.995189
-0.492719,-0.82434,1.09527,0.78065,-1.22339,-0.740616
-0.402519,-0.339394,1.89915,0.0875504,-1.4917,-0.490325
-1.24578,0.0205936,2.62035,-0.440224,-2.28746,-0.662071
-0.555017,-0.749648,1.89981,0.328318,-1.43374,-0.754731
-0.599613,-0.682342,2.44671,0.0710658,-1.59672,-0.740571
-1.02579,-0.28168,2.152,-0.138814,-1.64331,-0.736368
-1.50043,0.0929324,2.06444,-0.389147,-1.83138,-0.743654
-1.42415,0.760769,2.52143,-1.07309,-1.95699,-0.392277
-2.36419,1.39168,1.78523,-1.26334,-2.22798,-0.478182
-2.3,1.86998,2.20836,-1.77445,-2.39294,-0.233753
-2.91559,2.3763,1.98459,-2.08692,-2.73836,-0.24569
-2.37803,2.22456,1.11995,-1.68753,-1.93615,-0.106397
-2.95394,2.99369,1.63263,-2.46524,-2.63509,0.0427839
-3.36349,3.11178,1.34553,-2.42747,-2.83833,-0.0434515
-3.03782,3.08867,1.08008,-2.28051,-2.54035,0.0912986
-2.74577,2.90266,1.12887,-2.1454,-2.38729,0.137052
-3.71481,3.87565,1.07087,-2.87513,-3.14405,0.237113
-3.67145,4.04782,0.37835,-2.78858,-2.81423,0.33039
-3.92876,4.75103,0.451535,-3.406,-3.08321,0.555546
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-10.1157,4.2285,-6.38522,-3.32677,-5.85482,0.238017
-8.44729,4.02885,-6.35834,-3.31249,-4.44958,0.549063
-9.54036,3.3598,-5.51036,-2.89711,-5.84534,0.183594
-8.17325,2.67108,-7.05655,-2.34322,-4.41438,0.183889
-8.11034,2.23716,-7.77263,-2.11496,-4.44537,0.143712
-7.72054,1.81322,-7.68973,-1.91317,-4.38795,0.148379
-6.92828,1.54013,-5.67276,-1.84993,-4.64325,0.238585
-7.377,0.981981,-7.28342,-1.41106,-4.40696,0.142237
-8.07698,0.301897,-5.12295,-0.888456,-5.90591,0.00372718
-7.52663,-0.197181,-6.07524,-0.544983,-5.01236,-0.0467597
-6.38112,-0.262145,-4.64601,-0.518334,-4.57541,0.0602728
-6.75631,-0.94312,-4.82266,0.0332941,-4.83995,-0.041442
-3.96254,0.140195,-6.12137,-1.0943,-2.05319,0.311559
-5.17164,-1.27836,-3.1959,0.289025,-4.17471,-0.0248065
-3.43289,-0.7172,-4.17158,-0.337869,-2.45727,0.113446
-2.57824,-0.95484,-4.35894,-0.224839,-1.80364,-0.00286014
-3.78318,-1.20366,-2.79393,0.477809,-3.16201,0.190804
-2.64429,-0.405433,-3.95542,0.12595,-1.71336,0.37982
-2.8673,-0.0117484,-4.47904,0.0632442,-1.54824,0.55823
-3.58687,-0.884635,-3.02421,1.03995,-2.44711,0.454259
-4.30109,-1.25655,-1.9555,1.4499,-3.16773,0.520661
-3.16091,-1.0846,-3.5979,0.918614,-1.93374,0.534989
-1.6098,0.318217,-3.19218,-0.084499,-0.965476,0.702075
-3.15532,-1.21869,-4.16701,0.786716,-1.73603,0.643358
-3.13316,-0.879935,-3.89317,0.726165,-1.6905,0.725575
-3.50876,-1.13954,-3.13808,1.12241,-2.03944,0.701083
-3.50685,-0.598349,-3.17807,0.742456,-1.94615,0.811546
-2.04079,0.191972,-2.32202,0.292339,-1.01633,0.681053
-2.3973,0.546229,-1.69346,0.131925,-1.29169,0.821076
-1.71632,0.899343,-1.14766,-0.0237654,-0.881281,0.759078
-1.77589,0.716682,-0.811477,0.167758,-0.961389,0.750476
-1.76096,0.687155,-0.901274,0.20277,-1.03171,0.721703
-1.88456,0.934925,-0.150913,0.249194,-1.26613,0.824095
-1.71867,0.805246,-1.02194,0.10378,-0.835234,0.762462
-1.81529,0.567724,0.691656,0.50651,-1.15227,0.75515
-2.6736,-0.178132,0.0981521,0.727814,-1.38568,0.780957
-2.63962,0.173022,-0.0756398,0.368599,-1.23782,0.92418
-2.27704,-0.143966,0.929589,0.818663,-1.23238,0.784366
-1.24702,0.055339,0.882647,0.843098,-0.784013,0.610097
-1.62031,0.310975,0.89356,0.525462,-0.798959,0.718578
-1.60497,0.554992,0.722092,0.304277,-0.729615,0.726619
-2.37595,-0.187761,0.835102,0.804365,-1.28318,0.674639
-0.27186,0.484084,0.00660378,0.0855429,0.331468,0.228084
-1.02366,-0.42035,0.191936,0.721883,-0.220825,0.101828
-1.24725,-0.3559,1.81829,1.13925,-0.844616,0.151432
-0.736333,-0.445201,1.08496,0.995578,-0.295111,-0.0573784
-0.172293,-0.406602,1.42896,1.06035,-0.030978,-0.170432
-0.762992,-0.578723,1.39755,1.19623,-0.455985,-0.0726945
-1.05542,-0.641019,0.773046,1.15584,-0.477612,0.00787412
-1.43543,-0.723107,0.624968,1.21977,-0.69917,0.108211
-1.1143,-0.665265,0.241863,1.15726,-0.383268,0.100094
-1.63914,-1.33241,0.108952,1.56106,-0.738421,-0.0239437
-0.934457,-1.34421,-0.12378,1.29181,-0.315814,-0.1373
-1.7985,-2.12162,0.184369,1.5871,-1.11518,-0.253102
-1.22911,-1.65869,-0.386729,0.993197,-0.642116,-0.182851
-1.12274,-1.63909,-0.654608,0.766565,-0.648424,-0.232172
-1.90527,-2.06041,-0.572945,0.942316,-1.3706,-0.416411
-1.29387,-1.88151,-0.980065,0.743736,-0.926449,-0.534951
-1.35861,-1.67813,-0.978544,0.641895,-0.997293,-0.506752
-0.608145,-1.25851,-0.767573,0.420162,-0.61754,-0.421909
-1.33149,-2.10546,-0.122303,0.961254,-1.28535,-0.784731
-1.07956,-1.43228,0.345922,0.625279,-1.35137,-0.511459
-0.322752,-0.635252,-0.423869,0.121214,-0.557563,-0.170963
-0.436624,-1.01332,-1.08848,0.289008,-0.299163,-0.365518
-0.541086,-0.0576866,0.149275,-0.274086,-0.928647,-0.0434164
-1.13235,-1.00833,-1.21412,0.105862,-0.528922,-0.669556
-0.977503,-0.0482495,0.214036,-0.421228,-1.159,-0.256683
-0.888538,-0.14983,0.199384,-0.398294,-1.10005,-0.348293
-1.23072,0.0284986,-0.469635,-0.510413,-0.937007,-0.306389
-1.34694,-0.400101,-1.32273,-0.243798,-0.528804,-0.58802
-1.26742,0.186026,-1.50863,-0.489293,-0.372594,-0.287273
-1.06804,0.00528019,-1.55578,-0.284053,-0.243594,-0.397193
-1.24191,-0.48982,-1.48562,0.0984674,-0.385202,-0.737312
-1.81721,0.504462,-1.01084,-0.32109,-1.00104,-0.27046
-1.12455,-0.697813,-1.05849,0.394565,-0.605813,-0.903124
-0.977606,-0.0395928,0.0916016,-0.0476463,-1.20043,-0.518477
0.15863,0.56454,0.224079,-0.388696,-0.658683,-0.0454026
0.048333,-0.383054,-1.54264,0.275917,0.316897,-0.627383
-0.161592,-0.107395,0.213592,-0.04121,-0.800697,-0.49431
0.284166,-0.182526,-1.12459,0.163833,0.221157,-0.491971
-0.262994,-0.56277,-0.261482,0.27196,-0.580369,-0.792541
0.217511,-0.732339,-1.15025,0.454639,0.197997,-0.820545
-0.636235,0.144491,0.350684,-0.244821,-1.14229,-0.429377
-0.0958022,-0.123668,-0.572599,-0.0160031,-0.30168,-0.496904
-0.119641,-0.292762,-0.507819,-0.0384517,-0.301851,-0.572147
-0.175183,-0.404078,0.0178428,-0.211644,-0.596072,-0.486627
-0.695925,-0.599664,-0.072743,-0.169715,-0.84446,-0.519427
-0.43465,-0.621083,-0.413317,-0.15193,-0.521126,-0.414977
-0.462295,-0.155157,-0.472215,-0.385361,-0.502321,-0.138673
-0.515542,0.0348677,-0.73229,-0.427849,-0.34988,-0.00964263
-1.05271,0.352791,-0.666324,-0.565612,-0.622643,0.127929
-1.05798,0.349622,-0.761587,-0.560899,-0.539117,0.168919
-1.2962,0.428756,-0.875051,-0.650029,-0.614209,0.203716
-1.57856,0.842549,-0.905759,-0.937231,-0.762583,0.432151
-2.08092,0.933238,-0.854738,-1.11035,-1.09917,0.442905
-2.17736,0.740215,-1.0166,-1.05719,-1.0937,0.31759
-2.45352,0.960143,-1.06524,-1.21385,-1.25422,0.435058
-2.74543,1.26931,-1.13411,-1.39357,-1.38769,0.620233
-3.05024,1.02538,-1.24104,-1.27052,-1.50571,0.469588
-3.23269,1.4012,-1.20747,-1.49371,-1.65909,0.72039
-3.87546,0.626377,-1.25618,-1.10563,-1.99951,0.216332
-4.35397,1.13631,-1.26354,-1.33003,-2.2926,0.541643
-4.86759,1.03279,-1.42154,-1.26823,-2.50267,0.498566
-5.365,1.35395,-1.46328,-1.39938,-2.78374,0.733596
-5.83007,0.749325,-1.42801,-1.07534,-3.07025,0.410391
-6.02655,0.719258,-1.52395,-1.07163,-3.12735,0.474697
-6.20051,1.21799,-1.51949,-1.31716,-3.24041,0.866815
-6.38673,-0.149209,-1.49173,-0.651526,-3.37414,0.100652
-6.75392,0.925525,-1.41606,-1.1674,-3.63147,0.874456
-6.80093,-0.215347,-1.36017,-0.57174,-3.68889,0.26394
-6.88007,0.0987892,-1.40741,-0.728765,-3.72499,0.561835
-7.10567,-0.0845127,-1.21473,-0.6333,-3.97819,0.564919
-6.81267,-0.255824,-1.38893,-0.537479,-3.73759,0.553037
-7.10728,0.885232,-1.26807,-1.10311,-3.97687,1.35421
-6.82774,-0.986142,-1.24266,-0.164254,-3.8608,0.300498
-6.64857,-0.49497,-1.31325,-0.436015,-3.77222,0.711317
-6.33661,-0.401094,-1.51197,-0.5151,-3.48149,0.859804
-5.40242,-1.58482,-1.23102,0.0885571,-2.97246,0.12339
-5.82049,0.167323,-0.450445,-0.752846,-3.3768,1.39229
-4.9824,-1.96554,0.0519835,0.399935,-3.0785,0.0767623
-4.61904,-0.767151,-0.448591,-0.333728,-2.55266,0.766461
-4.0322,-1.68344,-0.290832,0.121733,-2.32522,0.124865
-4.9654,-0.892703,0.407062,-0.154928,-3.22584,0.757833
-3.85339,-0.486459,0.17044,-0.399018,-2.43275,0.730857
-3.81935,-0.888733,0.439965,-0.00483784,-2.46094,0.456447
-4.44806,-0.00212082,0.273335,-0.343169,-2.6467,1.04755
-3.8293,-0.622178,-0.222972,0.0479448,-2.00663,0.51089
-3.96704,-0.537904,-0.111785,0.195214,-2.12812,0.590734
-4.08457,-0.405531,-0.104152,0.247036,-2.2159,0.707965
-3.98587,-0.687607,-0.355146,0.47851,-2.0763,0.544216
-4.35367,-0.604165,0.0446116,0.630394,-2.55116,0.682188
-4.77886,-1.06692,0.250429,1.02423,-2.95308,0.577917
-4.41332,-1.01701,0.305877,1.02658,-2.82331,0.507078
-3.65442,-0.462425,-0.334866,0.464052,-2.05119,0.567121
-3.37191,-0.594905,-0.22659,0.534786,-1.95493,0.445495
-3.36937,-1.05686,-0.135823,0.830772,-1.99073,0.217399
-3.16893,-1.58107,-0.0803624,1.17961,-1.92015,-0.0672412
-3.37493,-1.97779,-0.1645,1.38074,-2.11155,-0.213979
-3.28814,-1.89235,-0.490666,1.20005,-1.95243,-0.210587
-4.00585,-2.24972,-0.34209,1.43456,-2.60987,-0.245668
-3.99732,-2.34346,-0.293381,1.46568,-2.68231,-0.320153
-4.04784,-2.4608,-0.448894,1.47395,-2.71639,-0.411602
-4.37006,-2.2287,-0.38576,1.2521,-3.05869,-0.327301
-4.11784,-1.75442,-0.692876,0.78059,-2.80533,-0.236333
-4.60903,-2.51977,-0.569388,1.34415,-3.31334,-0.537414
-4.0368,-1.94587,-0.984081,0.791682,-2.86252,-0.47777
-4.65596,-1.77865,-1.37781,0.620844,-3.37895,-0.412422
-4.06794,-1.88102,-1.76963,0.690388,-2.94848,-0.64252
-4.56686,-1.26487,-1.98603,0.246666,-3.39175,-0.376718
-4.45873,-1.80372,-2.38071,0.650931,-3.28457,-0.643353
-4.76226,-0.751516,-2.63599,-0.150882,-3.50175,-0.218531
-4.29188,-1.90136,-2.78689,0.763932,-3.07607,-0.821273
-4.28764,-0.467862,-2.90871,-0.297542,-3.00449,-0.237788
-3.63901,-1.44091,-2.94242,0.471475,-2.44678,-0.709832
-3.55207,-0.443612,-2.79128,-0.27753,-2.39086,-0.312994
