nearest_distance
0.471267
0.471267
0.471263
0.471263
0.471262
0.471261
0.471258
0.471255
0.471255
0.471257
0.471257
0.471253
0.471256
0.471253
0.47125
0.471249
0.471248
0.47125
0.471248
0.471247
0.471246
0.471252
0.471249
0.471248
0.47125
0.47125
0.471251
0.471251
0.471252
0.471252
0.471253
0.47125
0.471251
0.471252
0.471253
0.471251
0.471254
0.471251
0.471251
0.471254
0.471254
0.471253
0.471254
0.471254
0.471255
0.471255
0.471257
0.471257
0.471258
0.471256
0.471257
0.471255
0.471131
0.466715
0.456662
0.445063
0.430117
0.421521
0.393529
0.384371
0.365241
0.344876
0.325441
0.307413
0.289182
0.271425
0.254482
0.240073
0.225246
0.212283
0.200076
0.18936
0.17969
0.170191
0.161777
0.157647
0.148289
0.145862
0.140438
0.13909
0.136116
0.135126
0.132016
0.130651
0.125784
0.123908
0.118244
0.116099
0.111391
0.109615
0.104634
0.101701
0.098615
0.0972048
0.0936233
0.0926889
0.0891435
0.0878157
0.0847827
0.0819526
0.0783384
0.0750814
0.0710924
0.0692445
0.0630053
0.0608425
0.0551409
0.0531513
0.049519
0.0461997
0.0432693
0.0404878
0.0378093
0.0359157
0.0347096
0.0344482
0.0349826
0.0354004
0.0370535
0.0375094
0.0387853
0.0393188
0.0394253
0.0393039
0.0386449
0.0383462
0.0377348
0.0372218
0.0369075
0.036779
0.0368592
0.0369392
0.0373853
0.0375356
0.0379013
0.037955
0.037961
0.0379002
0.0378228
0.0377795
0.0376067
0.0375475
0.0373635
0.037309
0.343326
0.343327
0.343313
0.343404
0.343522
0.343593
0.343831
0.343937
0.344136
0.344151
0.344226
0.344226
0.34418
0.0256312
0.0263745
0.0270457
0.0313503
0.0332269
0.0375859
0.0414485
0.340516
0.340695
0.341254
0.34137
0.341893
0.342111
0.342826
0.343047
0.343574
0.343749
0.348687
0.348368
0.347708
0.347685
0.347701
0.347891
0.348063
0.348422
0.349013
0.349348
0.35024
0.350378
0.350894
0.350944
0.0244423
0.0246139
0.0260667
0.0273319
0.0331583
0.0353637
0.3484
0.348514
0.349342
0.349637
0.350516
0.35076
0.351405
0.351628
0.352391
0.352645
0.359701
0.359724
0.359739
0.359725
0.359727
0.359734
0.359736
0.359735
0.359737
0.359738
0.35974
0.359738
0.359738
0.359743
0.359742
0.359739
0.359742
0.35974
0.0243673
0.0252237
0.358886
0.358266
0.358015
0.357613
0.352548
0.347742
0.327296
0.320097
0.302774
0.297736
0.277137
0.270063
0.26457
0.259763
