x, y, z, rx, ry, rz, w
0.532031,-0.15206,0.558515,0.869804,0.489756,-0.0150634,-0.0579024
0.542671,-0.138223,0.551979,0.867949,0.493012,-0.013721,-0.058446
0.55312,-0.120129,0.544922,0.86538,0.497251,-0.0135803,-0.0606169
0.561776,-0.10008,0.538594,0.86276,0.501377,-0.0144924,-0.0636902
0.569617,-0.076233,0.532588,0.861158,0.503623,-0.0161077,-0.067159
0.575605,-0.0521908,0.52835,0.861591,0.502511,-0.0173455,-0.0695953
0.580298,-0.0261873,0.525289,0.863621,0.498742,-0.0182477,-0.0712823
0.583793,-0.000279643,0.523892,0.866883,0.493047,-0.0174946,-0.0715067
0.585841,0.0272347,0.523874,0.87146,0.485045,-0.0158312,-0.0709788
0.586203,0.0434927,0.524597,0.87481,0.479108,-0.0144841,-0.0703761
0.585008,0.0729322,0.526818,0.881799,0.466319,-0.0124576,-0.0694353
0.582025,0.102316,0.530148,0.890217,0.450218,-0.0102471,-0.0686499
0.576982,0.130673,0.533923,0.898878,0.4327,-0.00929782,-0.0685831
0.570677,0.156479,0.537733,0.907184,0.414951,-0.00929642,-0.0688941
0.562562,0.18338,0.541893,0.915973,0.395067,-0.00970477,-0.0694309
0.552984,0.210217,0.546523,0.924504,0.374526,-0.00999884,-0.070161
0.542165,0.236471,0.55204,0.933053,0.352519,-0.00964433,-0.0710665
0.530708,0.261038,0.558309,0.941545,0.328937,-0.00860623,-0.07225
0.51926,0.282965,0.564783,0.949076,0.306208,-0.00716604,-0.0737613
0.507169,0.303845,0.572574,0.956246,0.28255,-0.00454878,-0.0757483
0.49565,0.321373,0.580173,0.962019,0.261633,-0.00176204,-0.07788
0.483916,0.336819,0.588297,0.967153,0.241294,0.00156921,-0.0800149
0.47128,0.350763,0.597028,0.972145,0.219639,0.0045458,-0.0816789
0.458443,0.362175,0.60516,0.977056,0.196318,0.00697196,-0.0822884
0.445234,0.371406,0.612636,0.981816,0.171206,0.00872595,-0.0815415
0.432003,0.377743,0.61945,0.986006,0.146575,0.00904131,-0.078903
0.417405,0.38184,0.625725,0.98948,0.12438,0.00697192,-0.0735606
0.402558,0.383131,0.631177,0.992083,0.107151,0.00310284,-0.0654172
0.387534,0.382054,0.635551,0.993941,0.0954096,-0.00271781,-0.0544977
0.378355,0.380339,0.637737,0.994812,0.0901557,-0.00718238,-0.0465761
0.362758,0.37542,0.640823,0.995987,0.0824298,-0.016253,-0.0308549
0.347134,0.368273,0.643501,0.996491,0.0783227,-0.0265715,-0.0128265
0.334169,0.360533,0.645465,0.996194,0.0791022,-0.0364168,0.00381874
0.322439,0.351946,0.647358,0.995634,0.0786155,-0.0461309,0.0201283
0.313331,0.343669,0.649427,0.995021,0.0766247,-0.0541359,0.0336298
0.304696,0.335034,0.651768,0.993801,0.0790909,-0.0628985,0.0463528
0.297451,0.326602,0.653999,0.992409,0.0821983,-0.0711279,0.0575223
0.290985,0.317582,0.656173,0.990772,0.0855477,-0.0800404,0.0681652
0.287622,0.312169,0.657417,0.989613,0.0888509,-0.0855608,0.0738287
0.281277,0.302083,0.659697,0.986452,0.102399,-0.0972982,0.0834225
0.275402,0.292024,0.66183,0.982075,0.122394,-0.110521,0.0912869
0.269475,0.280614,0.663887,0.975936,0.147688,-0.1268,0.0982796
0.265649,0.270278,0.665667,0.969539,0.172482,-0.141245,0.101458
0.263322,0.26071,0.667486,0.963035,0.196641,-0.153594,0.101517
0.262755,0.252462,0.669292,0.957599,0.216956,-0.161741,0.0988589
0.26353,0.24433,0.671243,0.953179,0.233901,-0.166821,0.094394
0.265734,0.235877,0.673431,0.950315,0.24641,-0.168397,0.0884627
0.268414,0.227614,0.675306,0.949406,0.251616,-0.168508,0.0832046
0.271773,0.21856,0.677018,0.949936,0.251304,-0.168426,0.0781069
0.27565,0.209959,0.678498,0.95109,0.248635,-0.168158,0.0730223
0.280292,0.200849,0.679728,0.952137,0.24607,-0.168425,0.0672173
0.284743,0.192715,0.680484,0.952185,0.246657,-0.16952,0.0613766
0.289572,0.184316,0.680973,0.951048,0.251505,-0.171139,0.0544416
0.294455,0.175533,0.681254,0.94888,0.259885,-0.17295,0.0466318
0.299562,0.166364,0.681618,0.945994,0.271004,-0.173831,0.037873
0.304764,0.157554,0.682039,0.943088,0.282448,-0.173097,0.0290873
0.311566,0.147038,0.68259,0.939933,0.29555,-0.169796,0.0185788
0.319193,0.137148,0.683102,0.937713,0.306556,-0.163212,0.00892568
0.324488,0.131475,0.683449,0.936891,0.312317,-0.157098,0.00357626
0.335895,0.121502,0.684244,0.936143,0.321917,-0.141346,-0.00515976
0.348571,0.111831,0.685156,0.935972,0.329979,-0.12217,-0.0120312
0.366955,0.0991511,0.686553,0.936021,0.338981,-0.0928952,-0.018107
0.374883,0.0937958,0.687295,0.936275,0.341501,-0.0799011,-0.0195445
0.387091,0.0848003,0.688816,0.936757,0.344286,-0.0593443,-0.0207787
0.394695,0.0773214,0.690453,0.937031,0.345614,-0.0455591,-0.0211858
0.399267,0.0702337,0.692268,0.937116,0.346515,-0.0357655,-0.0214831
0.400323,0.0632368,0.694476,0.936869,0.347683,-0.0300641,-0.0221251
0.398927,0.0572242,0.697206,0.936661,0.348515,-0.0262342,-0.0227017
0.396639,0.0522608,0.700608,0.936677,0.348781,-0.0216798,-0.0227642
0.393153,0.0473074,0.705078,0.936807,0.348769,-0.0158121,-0.0224487
0.388388,0.0426982,0.710592,0.93714,0.348174,-0.00864556,-0.0216634
0.383095,0.0386198,0.716329,0.937708,0.346806,-0.00121352,-0.0206716
0.377221,0.0348749,0.722281,0.938679,0.344177,0.00646189,-0.0195455
0.37029,0.0310117,0.728661,0.939677,0.341255,0.0147039,-0.0183586
0.363022,0.0272448,0.734739,0.940548,0.338448,0.0229123,-0.0172352
0.356181,0.0236254,0.739493,0.94135,0.335722,0.029609,-0.0165746
0.34863,0.0193908,0.743319,0.942305,0.332474,0.0353593,-0.0165119
0.341698,0.015096,0.745363,0.943321,0.329114,0.0391588,-0.0171788
0.335214,0.0106944,0.745381,0.944438,0.325634,0.0405752,-0.0187625
0.329349,0.00629827,0.743571,0.945621,0.322129,0.0398092,-0.0211803
