Fx, Fy, Fz, Mx, My, Mz
-2.27545,-4.45533,-3.17155,2.99545,0.0611833,-1.57315
-1.76323,-4.36752,-3.51856,2.85217,0.540749,-1.46656
-2.42818,-3.80203,-3.32534,2.49232,-0.126834,-0.919219
-2.96583,-3.24096,-3.89789,1.93548,-0.290186,-0.450826
-2.36658,-1.98209,-4.13805,0.868743,0.16159,0.067193
-1.17285,-1.75168,-3.66699,0.779357,0.685433,-0.1507
0.986152,-0.872722,-3.29696,0.13566,2.07087,-0.337245
2.9646,0.583567,-1.53652,-0.52939,2.7931,-0.200174
3.56466,3.0632,-0.507916,-2.24613,2.76652,0.736995
5.46946,3.66754,0.777453,-2.35624,3.7336,0.262772
3.6838,4.10063,0.599839,-2.70845,2.32762,0.832485
2.81618,3.92262,0.64552,-2.50103,1.58126,0.844737
3.25203,4.85665,1.1576,-3.12769,1.79899,0.878912
1.48101,2.94997,1.45326,-1.45326,0.199558,0.677697
3.38178,4.13404,2.05264,-2.26936,1.59071,0.446876
0.170168,2.81485,2.04134,-1.20746,-1.04165,1.09211
0.383776,4.17414,2.38188,-2.46118,-0.793856,1.28426
-1.17442,3.27468,2.42414,-1.79636,-2.04071,1.44259
-0.565152,4.73041,3.47344,-2.841,-1.69449,1.69368
-1.2978,4.53636,2.89814,-2.85975,-2.02564,1.82172
1.13962,6.83631,2.85569,-4.70515,0.0323671,1.38336
0.887103,6.94822,3.84198,-4.49306,-0.345899,1.5206
0.647755,7.16791,4.71868,-4.42129,-0.690312,1.61136
0.517064,7.21524,4.81797,-4.39707,-0.813464,1.50644
1.96542,9.05092,4.80914,-6.0506,0.390197,1.23276
2.00454,9.30336,5.95579,-5.9855,0.144492,1.34264
1.08222,8.98654,7.33834,-5.45567,-0.811744,1.61086
0.360638,8.16677,6.98615,-4.98777,-1.24018,1.6817
2.46659,8.24777,7.30124,-5.17636,0.50987,1.1765
2.0251,7.25226,6.58794,-4.63396,0.384024,1.15001
2.36546,7.51883,6.6661,-4.89594,0.605013,1.28743
3.40504,7.558,6.34604,-5.07714,1.60814,1.1368
1.30089,6.25043,5.62086,-4.14004,-0.0373593,1.44671
-0.348116,4.40426,5.25884,-2.68407,-1.3946,1.33266
-1.04579,3.7562,4.37412,-2.3566,-1.76807,1.20354
-1.83977,3.13934,3.36061,-2.00791,-2.3057,1.03184
-1.43336,3.10236,3.21773,-2.01742,-1.95108,0.801092
-0.323702,3.98318,3.85841,-2.68916,-1.14834,0.764107
-0.0219827,4.61993,3.74534,-3.31246,-0.798555,0.908088
-0.06587,4.8757,3.42252,-3.64586,-0.691714,1.05922
-0.241446,4.53298,3.12687,-3.421,-0.712045,1.03559
-1.2126,4.15316,2.80227,-3.22133,-1.31956,1.16107
-1.78009,3.72426,2.85457,-2.90725,-1.70387,1.17424
-1.71072,3.33642,2.86415,-2.60142,-1.57833,1.02559
-2.21521,2.7211,3.19353,-2.044,-2.03052,0.883509
-1.69017,1.74781,3.46298,-1.18218,-1.80957,0.487908
-0.546599,-0.0978564,3.89207,0.408648,-1.184,-0.261407
-0.00442167,-0.0178223,3.37356,0.238253,-0.623241,-0.222136
2.58773,-0.368648,2.63912,0.484615,1.59081,-0.549026
4.72678,-0.589117,2.00294,0.660429,3.54085,-0.814569
6.8027,-0.298481,1.82794,0.393106,5.35947,-0.804769
6.69819,0.402606,0.886207,-0.301757,5.6522,-0.466364
7.34608,0.347152,0.831319,-0.329498,6.3624,-0.448381
7.18472,0.758001,0.924348,-0.761811,6.29346,-0.211788
7.06322,0.684399,1.86647,-0.691337,5.93255,-0.214121
7.13197,0.916183,2.34796,-0.899146,5.87312,-0.0628767
7.30717,1.02414,3.35789,-0.987459,5.68548,0.0263865
