x, y, z, ry, ry, rz, w
0.420917,0.0560745,0.404498,0.999473,0.0198874,-0.0252966,-0.00422848
0.420917,0.0560745,0.404498,0.999473,0.0198874,-0.0252966,-0.00422848
0.40924,0.0752143,0.387873,0.999279,0.024474,-0.0288174,-0.00336333
0.396065,0.0946875,0.370602,0.999103,0.0286587,-0.0310825,-0.00244872
0.387666,0.105561,0.360162,0.998993,0.0308792,-0.0325168,-0.00161429
0.370916,0.126109,0.340574,0.998832,0.0345365,-0.0337739,-0.00064514
0.352219,0.146717,0.320092,0.998695,0.0378709,-0.0342589,0.000442097
0.33321,0.165725,0.300367,0.998596,0.040551,-0.0340653,0.00126098
0.311981,0.185363,0.279625,0.998537,0.043077,-0.032629,0.00182621
0.290099,0.203589,0.259473,0.998479,0.045314,-0.0313174,0.0025489
0.267687,0.220509,0.240325,0.998474,0.0467298,-0.029287,0.0029473
0.254727,0.229523,0.230062,0.998474,0.0475687,-0.0278848,0.00315669
0.230567,0.245123,0.21233,0.998491,0.0488656,-0.0248412,0.00336975
0.206989,0.259438,0.196451,0.998524,0.0499584,-0.0210176,0.00336606
0.184342,0.273318,0.181971,0.99859,0.0506053,-0.015762,0.00281831
0.1649,0.286362,0.169711,0.998661,0.0506515,-0.0104063,0.00165042
0.149484,0.298482,0.159595,0.998702,0.0506085,-0.00571779,0.000264001
0.135341,0.311967,0.1495,0.99876,0.0496071,-0.00238847,-0.00333903
0.125195,0.324447,0.141086,0.998782,0.0486323,-0.0012775,-0.0081879
0.118264,0.336204,0.134376,0.998749,0.0481393,-0.00234869,-0.0133507
0.113828,0.348191,0.128834,0.99868,0.047694,-0.00447636,-0.018522
0.112512,0.354795,0.126317,0.998623,0.0476031,-0.00585278,-0.0212442
0.111779,0.367317,0.122304,0.998512,0.0473843,-0.00889061,-0.0255014
0.112588,0.379583,0.119218,0.998404,0.0471101,-0.0120544,-0.0287226
0.114598,0.392959,0.116725,0.998297,0.046544,-0.0156074,-0.0315195
0.11732,0.405839,0.114758,0.998173,0.0461861,-0.0188202,-0.0341191
0.120831,0.419868,0.112726,0.998024,0.0455842,-0.0217987,-0.0373411
0.123981,0.431959,0.110606,0.997891,0.0452286,-0.0243502,-0.039696
0.127661,0.445662,0.108214,0.997739,0.0446517,-0.0268244,-0.0424577
0.130698,0.457427,0.10593,0.997645,0.044311,-0.0287399,-0.0437696
0.133988,0.469814,0.103288,0.997594,0.0439181,-0.0305138,-0.044115
0.136891,0.479902,0.100805,0.997609,0.0433297,-0.031597,-0.043585
0.139732,0.489183,0.0979171,0.997682,0.0428495,-0.0323315,-0.041829
0.142088,0.496632,0.0953858,0.997789,0.0422415,-0.0324026,-0.0397822
0.144211,0.503431,0.0927999,0.99793,0.0413907,-0.0322224,-0.037212
0.145972,0.509043,0.0905353,0.998085,0.0406973,-0.0314806,-0.0343266
0.147249,0.513928,0.0886627,0.998243,0.0400561,-0.0305078,-0.0312469
0.148194,0.517815,0.0872765,0.998403,0.0392797,-0.0291564,-0.0282439
0.14858,0.519842,0.0863715,0.99851,0.0385679,-0.028313,-0.0262326
0.149445,0.523426,0.085262,0.99872,0.0373658,-0.0260448,-0.0219986
0.149509,0.524679,0.0848819,0.998799,0.036792,-0.0251315,-0.0203575
0.149422,0.52639,0.0844871,0.998915,0.0360094,-0.0237545,-0.0175406
0.149453,0.527754,0.0843929,0.999028,0.0352976,-0.0219364,-0.0146616
0.149433,0.528415,0.0844713,0.99913,0.0344458,-0.0202719,-0.0118823
0.149142,0.528968,0.0847464,0.999203,0.0337549,-0.0190115,-0.00963628
0.14879,0.529495,0.0849513,0.999265,0.0330989,-0.0178331,-0.00742934
0.148642,0.529796,0.0850158,0.999313,0.0326116,-0.016768,-0.005376
0.14863,0.530048,0.0850547,0.999353,0.0321687,-0.0157199,-0.00351302
0.148482,0.530372,0.0851469,0.999385,0.0317492,-0.014743,-0.00180471
0.148474,0.530932,0.0854446,0.999401,0.0317279,-0.0137924,-0.000990231
0.148674,0.530772,0.085281,0.999404,0.0316495,-0.0137301,-0.000806572
0.149186,0.529918,0.0844672,0.999412,0.0313531,-0.0138655,-0.000144371
0.149617,0.528787,0.0828734,0.999417,0.0309353,-0.0144407,0.000854186
0.149884,0.528165,0.0816049,0.999417,0.0306336,-0.0150037,0.00150594
0.150448,0.526923,0.0783965,0.999408,0.030039,-0.0165367,0.00289907
0.150925,0.525706,0.0746416,0.999382,0.0296524,-0.0184099,0.00415483
0.151337,0.524554,0.0705726,0.999348,0.0293872,-0.0203424,0.00506487
0.151816,0.523511,0.0660931,0.999317,0.0289456,-0.0222822,0.00551603
0.152255,0.522547,0.061823,0.999286,0.0285823,-0.0240062,0.00576968
0.152744,0.521615,0.0571173,0.999247,0.0283225,-0.0258129,0.00604774
0.153236,0.520927,0.05272,0.999212,0.0282495,-0.0272491,0.00589939
0.153684,0.520271,0.0486782,0.999177,0.0285132,-0.0282491,0.00585419
0.154068,0.519698,0.0448899,0.999136,0.0293933,-0.0288649,0.00547813
0.154293,0.52089,0.0436988,0.999129,0.0302019,-0.0286832,0.00253608
0.154084,0.521243,0.043824,0.999124,0.0305221,-0.0285483,0.00231009
0.154149,0.52132,0.0437965,0.999126,0.0306691,-0.0283194,0.00214224
0.1541,0.521399,0.0437991,0.999124,0.0308531,-0.0282112,0.00200679
0.154151,0.521455,0.0437681,0.999125,0.0310139,-0.0279922,0.00186451
0.154113,0.521562,0.0437479,0.999125,0.031239,-0.0277656,0.00169839
0.154135,0.521675,0.0437019,0.999127,0.0314229,-0.0274738,0.00146147
0.154117,0.521817,0.0436656,0.999128,0.0317197,-0.0271243,0.00122493
0.154144,0.521931,0.0436237,0.99913,0.0318965,-0.0268357,0.00096306
0.154158,0.522084,0.0435817,0.999133,0.0321216,-0.0264851,0.000678444
0.154214,0.522264,0.0435167,0.999136,0.032417,-0.0260031,0.000308423
0.154249,0.522489,0.0434498,0.99914,0.0326979,-0.0254805,-0.000139847
0.154304,0.522729,0.0433797,0.999144,0.0329775,-0.0249492,-0.000632886
0.154341,0.522964,0.0433179,0.999147,0.0332745,-0.0244341,-0.00113179
0.154363,0.523168,0.04326,0.999148,0.0335397,-0.0240021,-0.0015652
0.154362,0.523376,0.0432008,0.999147,0.0338927,-0.0235168,-0.00197504
0.154323,0.523602,0.0431449,0.999145,0.0342498,-0.0230414,-0.00237667
0.1543,0.523826,0.0430853,0.999143,0.0346148,-0.0225278,-0.00272909
0.154253,0.524114,0.0430167,0.999142,0.0350123,-0.0219261,-0.0031006
0.154221,0.524417,0.0429551,0.999141,0.0354253,-0.0212614,-0.00332163
0.154201,0.524764,0.0429018,0.99914,0.0358804,-0.0205035,-0.00345368
0.154277,0.525105,0.0428337,0.999141,0.036319,-0.0196294,-0.0034906
0.154329,0.525291,0.0427846,0.999142,0.0365718,-0.0191102,-0.00351614
0.154387,0.525655,0.0427002,0.999141,0.0370634,-0.0181713,-0.00358303
0.15438,0.52597,0.0426173,0.999138,0.037564,-0.0173268,-0.00358882
0.154363,0.526255,0.0425205,0.999133,0.0380388,-0.0165152,-0.00361437
0.154338,0.526564,0.0424249,0.999127,0.0385516,-0.0156623,-0.00362977
0.154384,0.526828,0.0423272,0.999123,0.0389807,-0.0148257,-0.00359755
0.154472,0.527077,0.0422292,0.999121,0.0393571,-0.0139884,-0.00359805
0.154545,0.527324,0.0421196,0.999118,0.0397337,-0.0131425,-0.00354884
0.154582,0.527495,0.04201,0.999115,0.0400275,-0.0124742,-0.0034658
0.154595,0.52762,0.0419032,0.999112,0.0402822,-0.0119117,-0.00338338
0.154617,0.527696,0.0417672,0.999109,0.0405043,-0.011384,-0.0033113
0.154636,0.527738,0.0416805,0.999107,0.0406453,-0.0110645,-0.00327262
0.154677,0.527776,0.0414766,0.999106,0.0408465,-0.0104673,-0.00318681
0.154722,0.527815,0.0412845,0.999109,0.0408985,-0.00998343,-0.00312698
0.154761,0.527928,0.0411023,0.999108,0.0410523,-0.00938431,-0.00318251
0.154809,0.528126,0.0409832,0.999111,0.041127,-0.00867162,-0.00328217
0.154827,0.528335,0.0408877,0.999117,0.0411151,-0.00798895,-0.00334419
0.154828,0.528535,0.0407941,0.999119,0.0411647,-0.007364,-0.00341524
0.154823,0.528658,0.0407184,0.99912,0.0412035,-0.00699483,-0.00352097
0.154795,0.52878,0.0406466,0.999118,0.0412917,-0.00666641,-0.00366781
0.154761,0.528872,0.0405963,0.999117,0.0413445,-0.00642995,-0.00381049
0.154735,0.52894,0.0405536,0.999118,0.041337,-0.00623268,-0.00390387
0.154712,0.529003,0.0405088,0.999119,0.0413514,-0.00600346,-0.00397364
0.154679,0.529103,0.0404577,0.99912,0.041354,-0.00569292,-0.00405967
0.154602,0.52957,0.0406573,0.999119,0.0413693,-0.00532667,-0.00463713
0.15443,0.53072,0.0413185,0.999114,0.0414152,-0.00491746,-0.00560692
0.154277,0.531336,0.0416528,0.999112,0.0414262,-0.00470722,-0.00605812
0.154114,0.532257,0.0422593,0.999116,0.0412973,-0.00424759,-0.00656046
0.154345,0.531545,0.0435471,0.999127,0.0412522,-0.00345769,-0.00553904
0.154372,0.529949,0.0423613,0.999152,0.0408148,-0.0036606,-0.00401336
0.154595,0.52834,0.0392816,0.999179,0.0401968,-0.00429277,-0.00253847
0.154904,0.527132,0.0358296,0.999204,0.0395694,-0.00492603,-0.00110162
0.155107,0.525981,0.0322242,0.999222,0.039032,-0.00556567,0.000234684
0.155276,0.525229,0.0290227,0.999236,0.038579,-0.00615846,0.00123804
0.155585,0.525642,0.0267538,0.999248,0.0382503,-0.00630127,0.000467636
0.155412,0.52723,0.027055,0.999248,0.0383359,-0.0058671,-0.000425247
0.155192,0.52808,0.0270788,0.999249,0.0383508,-0.00546848,-0.000757425
0.155071,0.528645,0.0270783,0.999249,0.0384105,-0.00509646,-0.000953
0.154931,0.529068,0.0270838,0.999248,0.0384681,-0.00469947,-0.00105257
0.154786,0.529285,0.0270821,0.999248,0.0385308,-0.00430051,-0.00103126
0.154697,0.52943,0.0270769,0.999247,0.0385806,-0.0039329,-0.000986145
0.154407,0.529602,0.0270855,0.999236,0.0389013,-0.0036757,-0.000955639
0.153921,0.529748,0.027075,0.999221,0.0392992,-0.00352333,-0.000896115
0.153483,0.529888,0.0270695,0.999211,0.0395663,-0.00338143,-0.000853645
0.153336,0.529964,0.0270771,0.999207,0.0396755,-0.00330526,-0.000852016
0.153224,0.530015,0.0270836,0.999205,0.0397184,-0.00323173,-0.000841023
0.153227,0.53002,0.027082,0.999206,0.0397106,-0.00321553,-0.000838207
0.153228,0.53002,0.0270831,0.999206,0.0397067,-0.00320786,-0.000836216
0.15322,0.530031,0.0270858,0.999206,0.0397084,-0.00320621,-0.000844959
0.153214,0.530035,0.0270859,0.999206,0.0397096,-0.00319923,-0.000842997
0.153208,0.530035,0.0270834,0.999206,0.039709,-0.00319562,-0.000838361
0.153211,0.530037,0.0270838,0.999207,0.039685,-0.0031788,-0.000834689
0.153198,0.530039,0.0270806,0.999215,0.0394728,-0.00315769,-0.000824941
0.153196,0.530041,0.0270785,0.999222,0.0393072,-0.00313189,-0.000813871
0.153199,0.530039,0.0270768,0.999227,0.0391771,-0.00310681,-0.000803097
0.153199,0.530041,0.0270765,0.999233,0.0390258,-0.00308277,-0.000796065
0.153195,0.530043,0.0270757,0.999236,0.0389618,-0.00306738,-0.000790495
0.153189,0.530043,0.027076,0.999241,0.038835,-0.00305537,-0.000784384
0.153188,0.530039,0.0270724,0.999247,0.0386814,-0.00304999,-0.00077648
0.153183,0.530041,0.0270747,0.999252,0.0385338,-0.00304583,-0.000776732
0.153182,0.530044,0.0270743,0.999258,0.0383832,-0.00304183,-0.000775811
0.153172,0.530045,0.0270743,0.999262,0.0382823,-0.00303422,-0.000770325
0.153173,0.530043,0.0270703,0.999269,0.0381067,-0.0030155,-0.000760412
0.153174,0.530042,0.0270708,0.999276,0.0379175,-0.00300035,-0.000753991
0.153168,0.530044,0.0270718,0.999281,0.0377805,-0.00299285,-0.000751179
0.153162,0.530043,0.0270687,0.999289,0.0375846,-0.00299039,-0.000744185
0.153156,0.530046,0.0270716,0.999297,0.0373674,-0.00298509,-0.000744585
0.153149,0.530047,0.0270697,0.999305,0.0371517,-0.00298477,-0.000741105
0.155454,0.529515,0.0279925,0.999367,0.0355115,-0.00186806,-0.000449615
0.165066,0.526458,0.0316885,0.999519,0.0308725,0.00252517,0.00172057
0.173125,0.523105,0.0349672,0.9996,0.0275182,0.00554697,0.00355377
0.189676,0.515159,0.0425739,0.999672,0.0222479,0.0111509,0.00601382
0.206976,0.505254,0.0515278,0.999689,0.0169882,0.0163319,0.00812558
0.225064,0.493844,0.0619288,0.99966,0.0120537,0.0210218,0.00962319
0.243278,0.481583,0.0730285,0.999591,0.0077689,0.0253495,0.0107596
0.263797,0.466596,0.0860222,0.999495,0.00337109,0.0293289,0.0117715
0.283847,0.451173,0.099632,0.99939,-0.000348756,0.0326137,0.0124494
0.294491,0.442592,0.107494,0.999358,-0.0020087,0.0336417,0.0121809
0.310763,0.428206,0.12091,0.99933,-0.00439646,0.0343894,0.01174
0.325108,0.415039,0.133967,0.999307,-0.00640916,0.0348775,0.0113224
0.337438,0.40328,0.146018,0.999294,-0.00791617,0.0350299,0.0110733
0.350872,0.390218,0.160354,0.999291,-0.00936851,0.0349321,0.0104967
0.361939,0.379568,0.173679,0.999288,-0.0101274,0.0350287,0.00967394
0.371699,0.370185,0.186934,0.999292,-0.0107739,0.035036,0.00843317
0.379133,0.363181,0.198663,0.9993,-0.011023,0.0349839,0.00732934
0.386866,0.356341,0.212328,0.999314,-0.0112897,0.0347561,0.00595999
0.394113,0.350524,0.227086,0.999325,-0.0114834,0.0345674,0.00468753
0.401978,0.344904,0.24464,0.999339,-0.0114999,0.0343369,0.00332744
0.409447,0.340199,0.263594,0.999357,-0.0114725,0.0339278,0.00187322
0.416249,0.336082,0.281682,0.999377,-0.0115556,0.0333393,0.000851329
0.42313,0.331811,0.299458,0.999406,-0.0115506,0.0324633,-0.000167221
0.43051,0.327427,0.316616,0.999439,-0.0113498,0.0314884,-0.00129745
0.43514,0.324633,0.326164,0.999462,-0.0111769,0.0307857,-0.00168561
0.443674,0.319976,0.340886,0.999493,-0.0110974,0.0297609,-0.00233364
0.452171,0.315232,0.353638,0.999539,-0.0108079,0.0282068,-0.00316354
0.459977,0.311024,0.363988,0.999587,-0.010481,0.0264188,-0.00423814
0.467357,0.306848,0.372793,0.999646,-0.00989786,0.0241872,-0.00504075
0.47324,0.303708,0.378874,0.999691,-0.00959843,0.0222677,-0.00544138
0.479547,0.300775,0.384298,0.999744,-0.00908615,0.0198118,-0.00600091
0.485065,0.298585,0.388418,0.999793,-0.00855027,0.0173592,-0.00633997
0.489638,0.297192,0.391148,0.999829,-0.00806061,0.0152995,-0.0065408
0.493654,0.296178,0.393068,0.999862,-0.00766266,0.013307,-0.00640789
0.49743,0.295374,0.394716,0.999897,-0.00710916,0.0110285,-0.00581507
0.500918,0.295026,0.395873,0.999922,-0.00650243,0.00924773,-0.0053133
0.503826,0.294937,0.396486,0.999943,-0.00605011,0.00735138,-0.00478861
0.506181,0.295077,0.396999,0.999957,-0.00573815,0.0057922,-0.00443901
0.508511,0.295323,0.39712,0.99997,-0.00534793,0.00396368,-0.00392291
0.510514,0.295662,0.397493,0.999979,-0.00504072,0.00226375,-0.00335417
0.512061,0.296109,0.397426,0.999984,-0.00475944,0.000830292,-0.00291487
0.513545,0.296615,0.397192,0.999987,-0.00447481,-0.000461288,-0.00254216
0.514658,0.297059,0.397042,0.999987,-0.0042851,-0.00170327,-0.00205976
0.515638,0.297517,0.396679,0.999987,-0.00408058,-0.00283128,-0.00149018
0.516091,0.29778,0.39637,0.999986,-0.00398542,-0.00335074,-0.00122736
0.516856,0.298253,0.395593,0.999984,-0.00372425,-0.00428149,-0.000745841
0.517397,0.298603,0.394865,0.999982,-0.00348017,-0.0049587,-0.00034511
0.517748,0.298881,0.394053,0.999979,-0.00326275,-0.00557005,4.5621e-06
0.517984,0.299102,0.393234,0.999976,-0.00300931,-0.00616214,0.000271021
0.518045,0.299321,0.392515,0.999973,-0.00275857,-0.00672826,0.000454357
0.51795,0.299627,0.391839,0.99997,-0.00247314,-0.00728578,0.00062002
0.517779,0.300021,0.391318,0.999967,-0.00218989,-0.00775021,0.00070505
0.517469,0.301149,0.391246,0.999971,-0.00135034,-0.00754798,0.000426941
0.516648,0.303455,0.391352,0.999977,-0.00014124,-0.00680439,-0.000145965
0.515986,0.306001,0.390515,0.999979,0.000910427,-0.00635477,-0.000473901
0.516339,0.308471,0.388152,0.999981,0.00194712,-0.00575448,-0.000741312
0.517641,0.310579,0.384818,0.999984,0.00281187,-0.00483581,-0.00106078
0.519658,0.312464,0.380623,0.999986,0.00326505,-0.00391414,-0.0012819
0.522194,0.314567,0.375941,0.999988,0.00364994,-0.00268203,-0.00165365
0.52471,0.316422,0.371446,0.999989,0.00387353,-0.00172032,-0.00185715
0.527836,0.318282,0.366314,0.99999,0.00384282,-0.00058664,-0.002047
0.531003,0.320041,0.361143,0.999991,0.00373614,0.00025042,-0.00202286
0.534291,0.321792,0.355484,0.999991,0.00358065,0.00121183,-0.00203107
0.537555,0.323784,0.349504,0.999989,0.00361061,0.00221485,-0.0020793
0.540851,0.325909,0.343266,0.999986,0.00372653,0.00315665,-0.00208979
0.543865,0.328197,0.337751,0.999981,0.00407415,0.00403911,-0.00216046
0.546799,0.330652,0.332679,0.999976,0.00454773,0.00476824,-0.00218789
0.549727,0.333444,0.327422,0.99997,0.00499919,0.00540574,-0.002193
0.552479,0.336313,0.322529,0.999965,0.00542322,0.00592081,-0.0021494
0.555151,0.339227,0.318068,0.999962,0.00566844,0.00628665,-0.00202712
0.557674,0.342015,0.313835,0.99996,0.00583325,0.00648293,-0.00187335
0.559108,0.3436,0.311385,0.999959,0.00588758,0.00663555,-0.0018241
0.561453,0.346298,0.307562,0.999958,0.00603148,0.00665896,-0.00163185
0.563686,0.348865,0.303422,0.999959,0.0062122,0.00641097,-0.00127699
0.565636,0.351167,0.299855,0.999961,0.00634658,0.00613271,-0.000979794
0.567326,0.353048,0.296592,0.999964,0.00635769,0.0055968,-0.00053345
0.56848,0.354446,0.293792,0.999968,0.00633578,0.00498217,-8.4592e-05
0.569365,0.35549,0.2912,0.999972,0.00622452,0.00419934,0.000469671
0.569669,0.35584,0.290048,0.999973,0.00618048,0.00379488,0.000752926
0.569979,0.356147,0.288142,0.999976,0.00604621,0.00301762,0.00131111
0.569978,0.356107,0.286836,0.999978,0.00590268,0.00230981,0.00180348
0.56992,0.356009,0.286104,0.999979,0.00580737,0.00181844,0.00214762
0.569871,0.355684,0.285609,0.999981,0.00555342,0.0013485,0.00251761
0.569832,0.355189,0.28525,0.999982,0.00525639,0.000929894,0.00288496
0.569843,0.354683,0.284961,0.999982,0.00493445,0.000556738,0.00322324
0.569874,0.354105,0.284641,0.999983,0.00456388,0.000171553,0.00359538
0.569935,0.35347,0.284393,0.999983,0.00414426,-0.000242695,0.00399067
0.570098,0.35281,0.284505,0.999984,0.00366874,-0.000528287,0.00429691
0.570365,0.351948,0.285157,0.999985,0.0030185,-0.000588781,0.00447257
0.570633,0.350738,0.287297,0.999987,0.00214184,-0.000409013,0.00452304
0.570805,0.349783,0.289731,0.999989,0.00146755,-9.42898e-05,0.00444687
0.570896,0.347308,0.295913,0.999991,-2.98812e-05,0.000457355,0.00432541
0.570886,0.343657,0.304508,0.999989,-0.00183686,0.00111736,0.00425208
0.570937,0.338299,0.314116,0.999981,-0.00403062,0.00172834,0.00436222
0.571063,0.33293,0.320523,0.99997,-0.00571827,0.00141643,0.00498949
0.571158,0.328161,0.323346,0.999958,-0.00692141,0.000357199,0.00594454
0.571538,0.324354,0.323116,0.999944,-0.0080722,-0.000634973,0.00683611
0.572262,0.321389,0.321412,0.999927,-0.00906162,-0.0017623,0.00780941
0.573182,0.318382,0.31913,0.999904,-0.0100612,-0.00313807,0.00896563
0.57403,0.315544,0.317027,0.999879,-0.010945,-0.00455817,0.0100869
0.574914,0.312887,0.315408,0.999858,-0.0113782,-0.00574064,0.0110088
0.575773,0.310484,0.314317,0.99984,-0.0118156,-0.00656881,0.011687
0.576651,0.308064,0.313555,0.999827,-0.0120159,-0.00721088,0.0122664
0.577463,0.30581,0.313058,0.999815,-0.0122552,-0.0076518,0.0127368
0.577674,0.304604,0.313359,0.999814,-0.0117461,-0.00812241,0.0129295
