x, y, z, ry, ry, rz, w
0.539143,0.0502112,0.52707,0.69228,0.651668,0.295937,0.0921883
0.539143,0.0502112,0.52707,0.69228,0.651668,0.295937,0.0921883
0.539143,0.0502121,0.527069,0.692278,0.65167,0.295936,0.0921879
0.539143,0.0502131,0.527067,0.692277,0.651673,0.295934,0.0921881
0.539142,0.05021,0.527068,0.692281,0.651668,0.295936,0.0921881
0.539144,0.0502137,0.527069,0.692278,0.651671,0.295936,0.0921869
0.539143,0.0502114,0.527066,0.692278,0.651671,0.295934,0.0921868
0.539143,0.0502076,0.527067,0.69228,0.651669,0.295936,0.0921865
0.539144,0.0502132,0.527066,0.692278,0.651672,0.295933,0.0921866
0.539143,0.0502112,0.527068,0.692278,0.651671,0.295935,0.0921868
0.539143,0.0502116,0.527066,0.69228,0.65167,0.295934,0.0921846
0.539144,0.05021,0.527068,0.692278,0.65167,0.295937,0.0921882
0.539142,0.0502109,0.52707,0.692278,0.65167,0.295936,0.0921882
0.539143,0.0502102,0.527068,0.692282,0.651667,0.295937,0.092185
0.539144,0.0502076,0.527065,0.692281,0.651669,0.295933,0.0921867
0.539143,0.0502093,0.527066,0.692281,0.651668,0.295935,0.0921863
0.539141,0.0502122,0.52707,0.692277,0.651671,0.295937,0.0921886
0.539143,0.0502115,0.527066,0.692279,0.65167,0.295935,0.0921839
0.539142,0.0502123,0.527068,0.692277,0.651671,0.295937,0.0921864
0.539143,0.0502072,0.527067,0.692279,0.651669,0.295937,0.092189
0.539141,0.0502124,0.527069,0.692278,0.651671,0.295937,0.0921855
0.539144,0.05021,0.527067,0.69228,0.651669,0.295936,0.0921864
0.539143,0.0502103,0.527065,0.692278,0.651672,0.295934,0.0921851
0.539141,0.0502118,0.527068,0.692277,0.651671,0.295937,0.0921858
0.539142,0.0502082,0.527067,0.692281,0.651668,0.295936,0.0921854
0.539142,0.0502103,0.527067,0.692278,0.65167,0.295937,0.0921863
0.539143,0.0502074,0.527067,0.692281,0.651667,0.295936,0.0921854
0.539142,0.0502122,0.527064,0.692278,0.651673,0.295933,0.0921839
0.539143,0.0502095,0.527068,0.69228,0.651668,0.295938,0.092187
0.539143,0.0502115,0.527068,0.692276,0.651672,0.295936,0.0921875
0.539142,0.0502114,0.527066,0.692278,0.651672,0.295934,0.0921856
0.539143,0.05021,0.527069,0.692278,0.65167,0.295937,0.0921876
0.539143,0.0502123,0.527065,0.692278,0.651672,0.295935,0.0921858
0.539143,0.0502107,0.527063,0.69228,0.651671,0.295933,0.092183
0.539141,0.0502132,0.527066,0.692277,0.651672,0.295935,0.0921839
0.539142,0.0502087,0.527068,0.692279,0.651669,0.295937,0.0921859
0.539143,0.0502119,0.527069,0.692278,0.651671,0.295937,0.0921858
0.539142,0.0502117,0.527069,0.692275,0.651672,0.295938,0.0921871
0.539142,0.0502111,0.527066,0.692277,0.651672,0.295936,0.0921854
0.539142,0.050211,0.527064,0.692279,0.65167,0.295935,0.0921836
0.539141,0.0502137,0.52707,0.692276,0.651671,0.295938,0.0921861
0.53914,0.0502142,0.527069,0.692275,0.651673,0.295939,0.0921849
0.539141,0.0502147,0.527067,0.692274,0.651675,0.295936,0.0921854
0.538777,0.0507204,0.526467,0.692855,0.651626,0.295151,0.0906713
0.533318,0.0570861,0.518054,0.703275,0.646524,0.285951,0.0751186
0.526717,0.0666633,0.506717,0.716749,0.637591,0.276022,0.0596758
0.522067,0.0736791,0.498845,0.725883,0.630758,0.269649,0.0502711
0.513324,0.0864405,0.484678,0.742358,0.617399,0.257864,0.0350628
0.504161,0.0989469,0.470461,0.758958,0.602785,0.245318,0.0212526
0.49484,0.111085,0.456414,0.774958,0.587802,0.232051,0.00903068
0.483918,0.124462,0.440693,0.792289,0.570577,0.216121,-0.00346186
0.473424,0.136678,0.426237,0.807854,0.55414,0.200258,-0.0140393
0.461778,0.149684,0.410842,0.824168,0.53568,0.182261,-0.023974
0.449247,0.1628,0.3951,0.840721,0.51537,0.16289,-0.0323773
0.435402,0.17636,0.378817,0.857473,0.492975,0.142027,-0.0393051
0.421506,0.189689,0.363294,0.873028,0.469996,0.122568,-0.0436309
0.408366,0.202044,0.349213,0.886694,0.447808,0.105563,-0.0458045
0.394342,0.214921,0.335015,0.900108,0.424012,0.0886383,-0.0465125
0.38027,0.227561,0.321564,0.912487,0.399895,0.0731541,-0.045831
0.371601,0.235193,0.313695,0.919603,0.384962,0.064231,-0.0448278
0.356501,0.248563,0.300473,0.931256,0.358367,0.0502994,-0.0424935
0.3419,0.261168,0.288057,0.941479,0.332542,0.0382068,-0.0396638
0.326501,0.274439,0.275593,0.951339,0.304783,0.0271467,-0.036406
0.310294,0.288071,0.262786,0.96049,0.275866,0.0171582,-0.0325948
0.293575,0.301882,0.249934,0.968965,0.245428,0.00839787,-0.0283077
0.276768,0.315515,0.237334,0.976349,0.214841,0.000888955,-0.0241873
0.260156,0.328867,0.225346,0.982558,0.184732,-0.00548725,-0.0206021
0.240645,0.34427,0.211853,0.988355,0.150719,-0.0119817,-0.0171549
0.221557,0.358466,0.199242,0.992101,0.123228,-0.0180197,-0.0149943
0.211964,0.365155,0.193048,0.99349,0.111098,-0.0207647,-0.0142594
0.190204,0.379329,0.179569,0.995708,0.0876209,-0.0265911,-0.0134497
0.169738,0.39174,0.167412,0.997069,0.068228,-0.0317074,-0.0139215
0.154937,0.40164,0.15772,0.997894,0.0526936,-0.0344623,-0.0155773
0.145716,0.409718,0.149116,0.998439,0.0386752,-0.0364393,-0.0171747
0.14139,0.417303,0.140731,0.998732,0.0259983,-0.0387552,-0.0188874
0.140841,0.424616,0.132493,0.998799,0.0153417,-0.0420345,-0.0199746
0.142113,0.432039,0.124475,0.998698,0.00663728,-0.0461977,-0.0206148
0.144366,0.440387,0.115604,0.998464,-0.00110638,-0.0513336,-0.0208323
0.147058,0.449486,0.106424,0.998149,-0.00765698,-0.0565868,-0.0209339
0.149618,0.459219,0.0974049,0.997825,-0.0131047,-0.0611805,-0.0207684
0.152196,0.470585,0.0895429,0.997528,-0.0181145,-0.0643972,-0.0215088
0.15404,0.482559,0.0827835,0.997273,-0.022527,-0.0667082,-0.0221153
0.155053,0.495659,0.077409,0.997073,-0.0265118,-0.0681157,-0.0224339
0.155913,0.508433,0.0738708,0.996962,-0.0301628,-0.0682963,-0.0222028
0.156321,0.520686,0.07115,0.996942,-0.033082,-0.0679153,-0.0200123
0.156472,0.530062,0.0691542,0.997001,-0.035032,-0.0669733,-0.0165976
0.15684,0.538085,0.0676492,0.997087,-0.0368946,-0.065585,-0.0124799
0.156928,0.543898,0.0667287,0.997208,-0.0381856,-0.0636755,-0.00794007
0.156961,0.546113,0.066454,0.997256,-0.038872,-0.0627663,-0.00537965
