x, y, z, ry, ry, rz, w
1.0797,0.148104,0.308663,0.632322,-0.140886,-0.322241,0.690276
1.0797,0.148104,0.308663,0.632322,-0.140886,-0.322241,0.690276
1.01991,0.170928,0.412196,1,0,0,0
1.077,0.149216,0.304309,0.632322,-0.140886,-0.322241,0.690276
1.07751,0.14904,0.303852,0.632322,-0.140886,-0.322241,0.690276
1.07954,0.14849,0.297405,0.632322,-0.140886,-0.322241,0.690276
1.0477,0.162043,0.296271,1,0,0,0
1.03238,0.168562,0.29585,1,0,0,0
1.03757,0.167532,0.272564,1,0,0,0
1.03991,0.167089,0.2615,1,0,0,0
1.04726,0.166541,0.235317,1,0,0,0
1.05069,0.166291,0.223089,1,0,0,0
1.0371,0.159629,0.223841,1,0,0,0
1.0807,0.147039,0.285233,0.632322,-0.140886,-0.322241,0.690276
1.08097,0.147517,0.285398,0.632322,-0.140886,-0.322241,0.690276
1.07984,0.147664,0.285731,0.632322,-0.140886,-0.322241,0.690276
1.07923,0.147766,0.285813,0.632322,-0.140886,-0.322241,0.690276
1.07897,0.147879,0.285514,0.632322,-0.140886,-0.322241,0.690276
1.07875,0.154215,0.269705,0.632322,-0.140886,-0.322241,0.690276
1.23654,0.173506,0.310548,0.632322,-0.140886,-0.322241,0.690276
1.1849,0.165546,0.299214,0.632322,-0.140886,-0.322241,0.690276
1.2371,0.17553,0.30793,0.632322,-0.140886,-0.322241,0.690276
1.21674,0.197728,0.184072,-0.422526,-0.186575,0.250486,-0.850834
1.06609,0.205246,0.0803631,-0.64537,-0.167917,0.197522,-0.718531
1.0772,0.221152,0.0654756,-0.656386,-0.22184,0.222993,-0.685725
1.08528,0.235427,0.0455521,-0.622121,-0.274988,0.254051,-0.687609
1.10059,0.247705,0.038631,-0.550991,-0.345522,0.235078,-0.722331
1.11695,0.259832,0.0419062,-0.530119,-0.34717,0.222929,-0.740776
1.1137,0.217168,0.109097,1,0,0,0
1.13247,0.243621,0.0476685,-0.530119,-0.34717,0.222929,-0.740776
1.13541,0.226478,0.0748571,1,0,0,0
1.13643,0.231258,0.0705812,1,0,0,0
1.1484,0.242177,0.0714029,1,0,0,0
1.15411,0.24741,0.0718253,1,0,0,0
1.154,0.247331,0.0718519,1,0,0,0
1.16336,0.254499,0.0849655,1,0,0,0
1.16333,0.254436,0.084835,1,0,0,0
1.163,0.247138,0.0966854,1,0,0,0
1.16295,0.247141,0.0966011,1,0,0,0
1.16809,0.215157,0.130585,1,0,0,0
1.16456,0.213262,0.130866,1,0,0,0
1.1628,0.212729,0.13057,1,0,0,0
1.15835,0.202269,0.137536,1,0,0,0
1.15847,0.200731,0.13911,1,0,0,0
1.15855,0.200047,0.13983,1,0,0,0
1.15738,0.200395,0.140122,1,0,0,0
1.15682,0.200559,0.140264,1,0,0,0
1.16114,0.198827,0.139828,1,0,0,0
1.16359,0.198517,0.138204,1,0,0,0
1.16452,0.198462,0.13671,1,0,0,0
1.16562,0.197652,0.135995,1,0,0,0
1.16406,0.198396,0.135232,1,0,0,0
1.16403,0.198418,0.135251,1,0,0,0
1.1631,0.19898,0.135681,1,0,0,0
1.16137,0.199682,0.135368,1,0,0,0
1.16065,0.200131,0.135712,1,0,0,0
1.16056,0.199991,0.135388,1,0,0,0
1.15938,0.198882,0.134118,1,0,0,0
1.15941,0.198881,0.134126,1,0,0,0
1.15965,0.199024,0.133324,1,0,0,0
1.15879,0.199912,0.133643,1,0,0,0
1.15815,0.200429,0.133805,1,0,0,0
1.15805,0.200379,0.133636,1,0,0,0
1.15784,0.200455,0.133621,1,0,0,0
1.1577,0.200439,0.133387,1,0,0,0
1.15771,0.200433,0.133391,1,0,0,0
1.15694,0.199888,0.133035,1,0,0,0
1.15652,0.199451,0.132719,1,0,0,0
1.15635,0.199253,0.132627,1,0,0,0
1.16032,0.198983,0.126699,1,0,0,0
1.16034,0.198987,0.126699,1,0,0,0
1.15853,0.199617,0.125784,1,0,0,0
1.16044,0.199697,0.125,1,0,0,0
1.16098,0.200281,0.123553,1,0,0,0
1.16419,0.201064,0.121552,1,0,0,0
1.16452,0.201415,0.121707,1,0,0,0
1.16433,0.201379,0.121635,1,0,0,0
1.15719,0.205037,0.12412,1,0,0,0
1.15591,0.204211,0.125332,1,0,0,0
1.15577,0.204087,0.125133,1,0,0,0
1.1562,0.201878,0.125229,1,0,0,0
1.15622,0.201887,0.125221,1,0,0,0
1.16432,0.195649,0.120492,1,0,0,0
1.16129,0.196588,0.11994,1,0,0,0
1.15983,0.197038,0.119675,1,0,0,0
1.15605,0.198981,0.119519,1,0,0,0
1.15605,0.198997,0.11954,1,0,0,0
1.15668,0.198675,0.118324,1,0,0,0
1.15671,0.198648,0.118243,1,0,0,0
1.15792,0.19801,0.118283,1,0,0,0
1.15764,0.197911,0.118585,1,0,0,0
1.15474,0.198636,0.120092,1,0,0,0
1.15338,0.199071,0.120801,1,0,0,0
1.15466,0.198169,0.120352,1,0,0,0
1.15527,0.197656,0.120088,1,0,0,0
1.157,0.197611,0.119761,1,0,0,0
1.15697,0.197569,0.119716,1,0,0,0
1.1535,0.19999,0.120518,1,0,0,0
1.15525,0.201133,0.120055,1,0,0,0
1.15643,0.201276,0.119777,1,0,0,0
1.15653,0.201014,0.11975,1,0,0,0
1.15775,0.199781,0.119058,1,0,0,0
1.15778,0.198871,0.118933,1,0,0,0
1.16139,0.196486,0.118354,1,0,0,0
1.16312,0.195556,0.118106,1,0,0,0
1.16089,0.19588,0.118327,1,0,0,0
1.16079,0.195908,0.118182,1,0,0,0
1.15904,0.196734,0.118447,1,0,0,0
1.1582,0.197134,0.118576,1,0,0,0
