Fx, Fy, Fz, Mx, My, Mz
-2.07231,0.303974,1.3392,-0.293121,-1.14913,-0.18939
-2.08287,0.313556,1.33881,-0.301224,-1.15117,-0.188302
-2.07618,0.321393,1.32747,-0.306169,-1.14308,-0.183332
-2.04218,0.310019,1.34481,-0.299012,-1.14118,-0.179607
-2.06829,0.265094,1.34319,-0.2902,-1.14477,-0.206927
-2.0034,0.308367,1.18874,-0.281143,-1.07294,-0.180192
-2.06665,0.304902,1.26047,-0.281023,-1.12043,-0.184917
-2.02149,0.309511,1.29005,-0.297703,-1.11301,-0.178952
-2.07122,0.35036,1.28179,-0.305169,-1.12706,-0.170596
-2.08035,0.319375,1.34894,-0.298779,-1.15687,-0.182594
-2.06439,0.335088,1.27458,-0.294561,-1.12563,-0.175471
-2.07886,0.33453,1.34682,-0.304598,-1.1561,-0.177935
-2.06456,0.30818,1.30046,-0.300249,-1.12685,-0.1889
-2.10962,0.330785,1.331,-0.314611,-1.14973,-0.189351
-2.06955,0.329111,1.29467,-0.298762,-1.13201,-0.180457
-2.07392,0.294909,1.29541,-0.289721,-1.13376,-0.195292
-2.06026,0.334204,1.28216,-0.299185,-1.12356,-0.176526
-2.07862,0.351235,1.3228,-0.310399,-1.14643,-0.171795
-2.0839,0.331848,1.31105,-0.298668,-1.1447,-0.17864
-2.03465,0.330733,1.27323,-0.293127,-1.11639,-0.174566
-2.07024,0.279954,1.2967,-0.281466,-1.13569,-0.19664
-2.06902,0.346745,1.31488,-0.299633,-1.14412,-0.172124
-2.0486,0.314571,1.25948,-0.29332,-1.11276,-0.182041
-2.04687,0.319424,1.3019,-0.299309,-1.12649,-0.179262
-2.09479,0.289961,1.3065,-0.287317,-1.14432,-0.195689
-2.04362,0.293554,1.29926,-0.283258,-1.12717,-0.184918
-2.04478,0.325888,1.3094,-0.289358,-1.13281,-0.170574
-2.04836,0.315947,1.30624,-0.287502,-1.1313,-0.174259
-2.10016,0.330429,1.32677,-0.296833,-1.15646,-0.178476
-2.09087,0.327163,1.31201,-0.29844,-1.14778,-0.181401
-2.08564,0.348913,1.32883,-0.31572,-1.14588,-0.175911
-2.02717,0.347704,1.26008,-0.303872,-1.10515,-0.1678
-2.05852,0.27372,1.33827,-0.288108,-1.14263,-0.197357
-2.03994,0.321304,1.28797,-0.29216,-1.12212,-0.175043
-2.06309,0.300967,1.27162,-0.297359,-1.11774,-0.191351
-2.06008,0.326335,1.32846,-0.3088,-1.13662,-0.182386
-2.05413,0.320549,1.25358,-0.294765,-1.11259,-0.18214
-2.05907,0.319072,1.35228,-0.309276,-1.14675,-0.185592
-2.05485,0.293821,1.29371,-0.294145,-1.12179,-0.191943
-2.08033,0.305461,1.30159,-0.291523,-1.13888,-0.188843
-2.04731,0.311152,1.27525,-0.285608,-1.1228,-0.181925
-2.01897,0.271966,1.26268,-0.268253,-1.10975,-0.192389
-2.08729,0.31067,1.29787,-0.288965,-1.14108,-0.187502
-2.05081,0.309058,1.29351,-0.287112,-1.13061,-0.183303
-2.04174,0.323255,1.30999,-0.290233,-1.13448,-0.174005
-2.06781,0.345445,1.33217,-0.3153,-1.14212,-0.174699
-2.08553,0.324847,1.32102,-0.300651,-1.14786,-0.184114
-2.07441,0.342245,1.26203,-0.295244,-1.12575,-0.172443
-2.05381,0.297275,1.30836,-0.294015,-1.13146,-0.189714
-2.0038,0.303694,1.29629,-0.28771,-1.11433,-0.177822
-2.07884,0.355231,1.2992,-0.304326,-1.14058,-0.1691
-2.02768,0.350025,1.27823,-0.305051,-1.11221,-0.16518
-2.02735,0.363148,1.27921,-0.304695,-1.11541,-0.159024
-2.04093,0.306258,1.25504,-0.281022,-1.11238,-0.183254
-2.04487,0.292172,1.30265,-0.286521,-1.12913,-0.188111
-2.07067,0.324665,1.33001,-0.302868,-1.14646,-0.178501
-2.05021,0.291778,1.27302,-0.288405,-1.11596,-0.190589
-2.06778,0.354502,1.36044,-0.316613,-1.15463,-0.169805
-2.02206,0.329224,1.24275,-0.290502,-1.10029,-0.171486
-2.06692,0.330317,1.31785,-0.304459,-1.14048,-0.176313
-2.0736,0.313956,1.31944,-0.295836,-1.14424,-0.184001
-2.03901,0.3216,1.28838,-0.296402,-1.12049,-0.177634
-2.04403,0.310723,1.32344,-0.299457,-1.13267,-0.18206
-2.05245,0.294127,1.32771,-0.293955,-1.13588,-0.189989
-2.00345,0.339286,1.28218,-0.291849,-1.11139,-0.163875
-2.04711,0.315658,1.27933,-0.287533,-1.1242,-0.178515
-2.01709,0.305579,1.29546,-0.292697,-1.11657,-0.17951
-2.037,0.294306,1.28127,-0.283676,-1.12175,-0.18274
-2.0431,0.313256,1.29355,-0.284274,-1.131,-0.177135
-2.05879,0.306449,1.26033,-0.278892,-1.12396,-0.181078
-2.06318,0.305774,1.29216,-0.277593,-1.13788,-0.180822
-2.07093,0.32442,1.28637,-0.292812,-1.13545,-0.178502
-2.06838,0.292577,1.28926,-0.279303,-1.13423,-0.188598
-2.04118,0.337387,1.31556,-0.296567,-1.13631,-0.168717
-2.04062,0.32504,1.33819,-0.295795,-1.14281,-0.173499
-2.04855,0.356679,1.24743,-0.288991,-1.11943,-0.159213
-2.09914,0.323655,1.36492,-0.303235,-1.16859,-0.183902
-2.05944,0.326699,1.28065,-0.296975,-1.12591,-0.1778
-2.04562,0.332607,1.26743,-0.300761,-1.11497,-0.174379
-2.04818,0.350174,1.28418,-0.304169,-1.12486,-0.167545
-2.04535,0.306167,1.29183,-0.294812,-1.12282,-0.186005
-2.06597,0.335076,1.34977,-0.306028,-1.15212,-0.177609
-2.01974,0.328427,1.28582,-0.296374,-1.11635,-0.171163
-2.02325,0.309247,1.30247,-0.293707,-1.12316,-0.17616
