Fx, Fy, Fz, Mx, My, Mz
-2.64235,0.665911,-0.506366,-0.396693,-1.43213,0.329826
-2.69398,0.661308,-0.425069,-0.39179,-1.49299,0.326779
-2.60964,0.629137,-0.479163,-0.377127,-1.43164,0.311715
-2.63704,0.681329,-0.38631,-0.380707,-1.45486,0.336512
-2.65781,0.660382,-0.326255,-0.327916,-1.42969,0.331671
-2.66232,0.574306,-0.241779,-0.256251,-1.40929,0.303898
-2.59042,0.567171,-0.234244,-0.24311,-1.36175,0.299826
-2.49341,0.54494,-0.212923,-0.235229,-1.31999,0.28649
-2.45596,0.536075,-0.177095,-0.233214,-1.32688,0.278412
-2.2916,0.524145,-0.390894,-0.233335,-1.18006,0.266612
-2.24484,0.508106,-0.340796,-0.222811,-1.18311,0.259561
-2.25676,0.497356,-0.381732,-0.218816,-1.17299,0.257598
-2.3086,0.476974,-0.309678,-0.199838,-1.22855,0.251391
-2.06625,0.434497,-0.465632,-0.189829,-1.06808,0.227025
-2.10291,0.420361,-0.377632,-0.180757,-1.11892,0.222859
-2.09533,0.391139,-0.418724,-0.170173,-1.10163,0.209245
-2.01778,0.409378,-0.394848,-0.180153,-1.07792,0.213813
-2.02525,0.416246,-0.399297,-0.191323,-1.07972,0.214302
-2.05757,0.414947,-0.404931,-0.186296,-1.0863,0.217921
-2.01596,0.379727,-0.410095,-0.173828,-1.06589,0.198227
-2.01545,0.434252,-0.469994,-0.195155,-1.03995,0.223575
-1.99687,0.427535,-0.40645,-0.194586,-1.05377,0.219214
-2.07105,0.435499,-0.382357,-0.198179,-1.09869,0.225422
-2.07271,0.379508,-0.419017,-0.179564,-1.08324,0.194974
-1.98179,0.398527,-0.500096,-0.184997,-1.00861,0.203951
-2.07537,0.399057,-0.396908,-0.185424,-1.0881,0.20488
-2.09023,0.405715,-0.379099,-0.188857,-1.09832,0.209642
-2.03744,0.423639,-0.40044,-0.196636,-1.06222,0.217045
-2.06549,0.390919,-0.325776,-0.181213,-1.10408,0.200399
-2.09372,0.371664,-0.285595,-0.170856,-1.13236,0.195809
