x, y, z, ry, ry, rz, w
0.364793,0.151265,0.484051,0.996245,-0.0767585,0.0400535,-0.000343288
0.364793,0.151265,0.484051,0.996245,-0.0767585,0.0400535,-0.000343288
0.364791,0.151264,0.484048,0.996245,-0.0767622,0.0400486,-0.000344027
0.364792,0.151266,0.48405,0.996245,-0.0767578,0.0400528,-0.000342142
0.364791,0.151266,0.484047,0.996245,-0.0767556,0.0400482,-0.000341731
0.364792,0.151266,0.484048,0.996245,-0.0767571,0.0400506,-0.000343099
0.364794,0.151265,0.484049,0.996245,-0.0767567,0.0400514,-0.00034162
0.364792,0.151267,0.484048,0.996245,-0.0767586,0.0400485,-0.000343274
0.364793,0.151264,0.48405,0.996245,-0.07676,0.0400536,-0.000344081
0.364792,0.151265,0.48405,0.996245,-0.0767594,0.0400505,-0.000345482
0.364793,0.151264,0.484049,0.996245,-0.07676,0.0400509,-0.000343508
0.364791,0.151264,0.484051,0.996245,-0.0767577,0.0400525,-0.000342339
0.364791,0.151266,0.484048,0.996245,-0.0767595,0.0400497,-0.000342389
0.364792,0.151265,0.484052,0.996245,-0.0767601,0.0400527,-0.000343821
0.364792,0.151265,0.484048,0.996245,-0.0767567,0.0400514,-0.000340554
0.364793,0.151264,0.484049,0.996245,-0.0767602,0.0400502,-0.000343623
0.364791,0.151266,0.484051,0.996245,-0.0767574,0.0400525,-0.000343624
0.364791,0.151267,0.484048,0.996245,-0.0767568,0.0400487,-0.000342698
0.364818,0.149789,0.483264,0.996178,-0.0780744,0.0391553,0.000924477
0.365173,0.141356,0.477031,0.99559,-0.0871663,0.0343412,0.00487555
0.366619,0.126949,0.464807,0.99443,-0.101503,0.0274182,0.00736129
0.368188,0.109577,0.449419,0.992687,-0.118602,0.0205778,0.0090466
0.36928,0.0920389,0.433163,0.990691,-0.134964,0.0144736,0.0103156
0.369537,0.0732074,0.41537,0.98835,-0.151529,0.00899317,0.0110212
0.368761,0.0534094,0.396039,0.985807,-0.167442,0.003938,0.0114735
0.367845,0.0426074,0.38545,0.984415,-0.175476,0.00152621,0.0115739
0.364776,0.020069,0.362911,0.98152,-0.190977,-0.00277788,0.0117533
0.36083,-0.000646759,0.34195,0.978992,-0.203494,-0.00559436,0.0115631
0.355597,-0.0223511,0.319973,0.976498,-0.215107,-0.00754793,0.0111462
0.349337,-0.0443585,0.297463,0.974156,-0.225497,-0.00824582,0.0101672
0.34283,-0.0649527,0.276519,0.972134,-0.234121,-0.00789517,0.0089697
0.33633,-0.0842882,0.256755,0.970401,-0.241277,-0.00734116,0.00731991
0.330498,-0.10234,0.238948,0.968869,-0.247435,-0.00595783,0.0057079
0.325314,-0.120298,0.221929,0.967514,-0.252751,-0.00421632,0.00396417
0.320912,-0.138353,0.205582,0.966303,-0.257385,-0.00244259,0.00229735
0.317719,-0.15578,0.190775,0.965303,-0.261127,-0.000865496,0.00122839
0.316152,-0.165774,0.182241,0.96485,-0.2628,8.67581e-06,0.000661705
0.313678,-0.184529,0.166737,0.964167,-0.265289,0.00147939,0.00162033
0.311838,-0.202194,0.152089,0.963693,-0.266964,0.00236838,0.00460659
0.310974,-0.220781,0.137581,0.963212,-0.268559,0.00288109,0.0094788
0.31159,-0.23938,0.124351,0.962831,-0.269623,0.00298143,0.0158232
0.313618,-0.25677,0.113349,0.962487,-0.270417,0.00227274,0.0220873
0.317466,-0.275626,0.102588,0.962188,-0.270892,0.000517694,0.0284782
0.322495,-0.29212,0.0942458,0.962112,-0.270621,-0.00187522,0.0331841
0.328482,-0.30709,0.0871021,0.962171,-0.269946,-0.00434159,0.0365658
0.335601,-0.321583,0.0798172,0.96234,-0.26893,-0.00655215,0.0391913
0.342577,-0.334283,0.0727454,0.962624,-0.267567,-0.00860482,0.0410876
0.348137,-0.343786,0.06715,0.963011,-0.26593,-0.0103055,0.0422431
0.352671,-0.350833,0.0624142,0.963667,-0.26342,-0.012618,0.0423919
0.354874,-0.3538,0.0602646,0.964112,-0.261697,-0.0137182,0.0425885
0.357638,-0.3573,0.0569538,0.964795,-0.258959,-0.0160589,0.0430345
0.359157,-0.358857,0.0544954,0.965317,-0.256839,-0.0178362,0.0433345
0.359504,-0.359254,0.0522261,0.965833,-0.254724,-0.0195924,0.043567
0.359206,-0.358689,0.0503522,0.966215,-0.253161,-0.0213117,0.0434099
0.358799,-0.357996,0.0489485,0.966584,-0.251693,-0.0226623,0.0430363
0.358964,-0.357657,0.0487114,0.967004,-0.250104,-0.0229178,0.0427241
0.359052,-0.357459,0.0486569,0.967382,-0.248681,-0.0230531,0.0424152
0.359168,-0.357217,0.0485799,0.967719,-0.247425,-0.0231264,0.0420284
0.359235,-0.357022,0.048511,0.967997,-0.246398,-0.0231707,0.0416179
0.359308,-0.356773,0.0484217,0.968319,-0.245207,-0.0232573,0.0411216
0.359356,-0.356538,0.0482975,0.968611,-0.244139,-0.0233112,0.0405631
0.359388,-0.356391,0.0482253,0.968754,-0.243621,-0.0233443,0.040242
0.359389,-0.356096,0.0480074,0.96905,-0.242556,-0.0234474,0.0394819
0.359345,-0.35578,0.0476742,0.969312,-0.241656,-0.0235071,0.0385378
