Fx, Fy, Fz, Mx, My, Mz
7.33585,-2.45885,-4.11528,1.18883,6.44375,-1.04134
6.89811,-2.85358,-1.87271,1.46558,5.18312,-1.26811
6.14509,-3.06768,0.860567,1.74016,3.54802,-1.35909
6.23605,-3.27523,2.51525,1.96371,2.88493,-1.47445
5.23722,-3.13883,5.69443,2.20873,1.17467,-1.37473
2.62331,-2.4949,7.78031,1.92466,-0.927558,-0.892283
1.60376,-1.7525,10.1956,1.83276,-2.25934,-0.493046
0.441842,-2.05951,9.82447,1.95581,-2.67772,-0.430453
-2.33962,-0.375088,8.96562,0.926663,-4.0707,0.671744
-4.07428,-0.470825,7.78687,1.01357,-4.56142,0.930435
-4.26726,-0.331421,7.72279,1.17601,-4.46074,1.00233
-4.93982,-0.442121,8.4526,1.63313,-5.02413,1.09207
-4.20776,-1.2558,9.88836,2.63373,-4.9533,0.722062
-4.3144,-1.80472,9.61904,2.96131,-4.89084,0.632659
-4.17787,-0.845378,10.058,2.49421,-4.82997,0.91934
-3.20776,-1.45957,7.92455,2.36726,-3.47363,0.538573
-4.99387,-2.14672,6.23106,2.25985,-3.79212,0.804281
-5.66543,-1.16325,5.13229,1.43241,-3.78284,1.26327
-6.87911,-2.70333,4.31189,1.91333,-4.27644,1.12275
-6.16523,-2.47654,7.07705,2.50298,-4.78883,1.05774
-6.78644,-2.83716,7.95432,2.897,-5.15261,1.12374
-8.93193,-3.81442,8.68626,3.60284,-6.18078,1.4094
-8.86038,-4.37234,5.86411,3.10807,-5.12593,1.19836
-11.0775,-3.89037,4.99516,2.68606,-5.51582,1.92274
-10.2018,-3.31603,4.2893,2.30432,-4.75108,1.86033
-10.7457,-2.28489,5.44675,2.29601,-5.07699,2.28685
-11.9337,-2.86518,5.08748,2.42705,-5.3241,2.36247
-10.5582,-1.42515,3.27458,1.55309,-4.16146,2.34835
-11.0497,-1.4899,3.25819,1.59066,-4.33654,2.43856
-8.83866,-0.261416,2.21792,0.964228,-3.23034,2.15643
-8.8205,-0.102113,2.6101,1.04185,-3.31981,2.12979
-9.76442,1.00735,3.52749,1.00722,-3.97683,2.62885
-9.23269,1.39268,3.67167,0.833561,-3.91852,2.43013
-9.01432,1.80646,3.60298,0.547269,-3.87371,2.36896
-8.75654,2.06995,3.43695,0.380562,-3.81567,2.30069
-7.11945,2.04766,2.97392,0.283179,-3.19932,1.79778
-7.26259,2.90981,3.57199,0.225157,-3.49179,2.04628
-7.22629,3.27095,3.92925,0.168253,-3.57244,2.10195
-5.71468,2.61187,2.74977,0.0106402,-2.56187,1.46859
-5.49709,2.38275,2.14871,-0.115278,-2.20947,1.30661
-6.68339,2.84617,1.77389,-0.33332,-2.29098,1.63152
-4.97022,2.71739,0.251187,-0.496194,-1.14149,1.30907
